[2026-05-19T17:24:10+0300] Launching realtime watcher process...
2026-05-19 17:24:11,986 DEBUG asyncio | Using selector: KqueueSelector
2026-05-19 17:24:12,739 DEBUG realtime._async.channel | id=65508688 event=<RealtimePostgresChangesListenEvent.Delete: 'DELETE'> table='finalMovies' schema_='public' filter=None, PostgresChangesCallback(callback=<function _subscribe_forever.<locals>.on_movies_change at 0x111f12200>, event='DELETE', table='finalMovies', schema='public', filter=None, id=None)
2026-05-19 17:24:12,739 DEBUG realtime._async.channel | id=9240672 event=<RealtimePostgresChangesListenEvent.Delete: 'DELETE'> table='finalSoons' schema_='public' filter=None, PostgresChangesCallback(callback=<function _subscribe_forever.<locals>.on_soons_change at 0x111f122a0>, event='DELETE', table='finalSoons', schema='public', filter=None, id=None)
2026-05-19 17:24:12,740 INFO realtime_watcher.listener | Realtime subscribe status: RealtimeSubscribeStates.SUBSCRIBED (err=None)
2026-05-19 17:24:12,740 DEBUG realtime._async.client | receive: '{"ref":null,"event":"phx_reply","payload":{"status":"ok","response":{}},"topic":"phoenix"}'
2026-05-19 17:24:12,740 DEBUG realtime._async.client | parsed message as ReplyMessage(event=<ChannelEvents.reply: 'phx_reply'>, topic='phoenix', payload=SuccessReplyMessage(status='ok', response=ReplyPostgresChanges(postgres_changes=None)), ref=None)
2026-05-19 17:24:13,373 DEBUG websockets.client | < TEXT '{"ref":null,"event":"system","payload":{"messag...me-watcher-1779200652"}' [210 bytes]
2026-05-19 17:24:13,373 DEBUG realtime._async.client | receive: '{"ref":null,"event":"system","payload":{"message":"Subscribed to PostgreSQL","status":"ok","extension":"postgres_changes","channel":"realtime-watcher-1779200652"},"topic":"realtime:realtime-watcher-1779200652"}'
2026-05-19 17:24:13,373 DEBUG realtime._async.client | parsed message as SystemMessage(event=<ChannelEvents.system: 'system'>, topic='realtime:realtime-watcher-1779200652', payload=SuccessSystemPayload(channel='realtime-watcher-1779200652', extension='postgres_changes', message='Subscribed to PostgreSQL', status='ok'), ref=None)
2026-05-19 17:24:13,374 DEBUG realtime._async.channel | realtime:realtime-watcher-1779200652 : SystemMessage(event=<ChannelEvents.system: 'system'>, topic='realtime:realtime-watcher-1779200652', payload=SuccessSystemPayload(channel='realtime-watcher-1779200652', extension='postgres_changes', message='Subscribed to PostgreSQL', status='ok'), ref=None)
2026-05-19 17:24:32,655 DEBUG websockets.client | > PING e5 2e 6a 44 [binary, 4 bytes]
2026-05-19 17:24:32,655 DEBUG websockets.client | % sent keepalive ping
2026-05-19 17:24:32,733 DEBUG websockets.client | < PONG e5 2e 6a 44 [binary, 4 bytes]
2026-05-19 17:24:32,733 DEBUG websockets.client | % received keepalive pong
2026-05-19 17:24:37,656 DEBUG realtime._async.client | send: {"event":"heartbeat","payload":{},"topic":"phoenix","ref":null,"join_ref":null}
2026-05-19 17:24:37,656 DEBUG websockets.client | > TEXT '{"event":"heartbeat","payload":{},"topic":"phoe...":null,"join_ref":null}' [79 bytes]
2026-05-19 17:24:37,731 DEBUG websockets.client | < TEXT '{"ref":null,"event":"phx_reply","payload":{"sta...:{}},"topic":"phoenix"}' [90 bytes]
2026-05-19 17:24:37,731 DEBUG realtime._async.client | receive: '{"ref":null,"event":"phx_reply","payload":{"status":"ok","response":{}},"topic":"phoenix"}'
2026-05-19 17:24:37,732 DEBUG realtime._async.client | parsed message as ReplyMessage(event=<ChannelEvents.reply: 'phx_reply'>, topic='phoenix', payload=SuccessReplyMessage(status='ok', response=ReplyPostgresChanges(postgres_changes=None)), ref=None)
2026-05-19 17:24:52,655 DEBUG websockets.client | > PING 03 c8 6c 42 [binary, 4 bytes]
2026-05-19 17:24:52,656 DEBUG websockets.client | % sent keepalive ping
2026-05-19 17:24:52,730 DEBUG websockets.client | < PONG 03 c8 6c 42 [binary, 4 bytes]
2026-05-19 17:24:52,731 DEBUG websockets.client | % received keepalive pong
2026-05-19 17:25:02,658 DEBUG realtime._async.client | send: {"event":"heartbeat","payload":{},"topic":"phoenix","ref":null,"join_ref":null}
2026-05-19 17:25:02,658 DEBUG websockets.client | > TEXT '{"event":"heartbeat","payload":{},"topic":"phoe...":null,"join_ref":null}' [79 bytes]
2026-05-19 17:25:02,736 DEBUG websockets.client | < TEXT '{"ref":null,"event":"phx_reply","payload":{"sta...:{}},"topic":"phoenix"}' [90 bytes]
2026-05-19 17:25:02,737 DEBUG realtime._async.client | receive: '{"ref":null,"event":"phx_reply","payload":{"status":"ok","response":{}},"topic":"phoenix"}'
2026-05-19 17:25:02,737 DEBUG realtime._async.client | parsed message as ReplyMessage(event=<ChannelEvents.reply: 'phx_reply'>, topic='phoenix', payload=SuccessReplyMessage(status='ok', response=ReplyPostgresChanges(postgres_changes=None)), ref=None)
2026-05-19 17:25:12,657 DEBUG websockets.client | > PING '#G7@' [text, 4 bytes]
2026-05-19 17:25:12,657 DEBUG websockets.client | % sent keepalive ping
2026-05-19 17:25:12,733 DEBUG websockets.client | < PONG '#G7@' [text, 4 bytes]
2026-05-19 17:25:12,733 DEBUG websockets.client | % received keepalive pong
2026-05-19 17:25:27,660 DEBUG realtime._async.client | send: {"event":"heartbeat","payload":{},"topic":"phoenix","ref":null,"join_ref":null}
2026-05-19 17:25:27,660 DEBUG websockets.client | > TEXT '{"event":"heartbeat","payload":{},"topic":"phoe...":null,"join_ref":null}' [79 bytes]
2026-05-19 17:25:27,735 DEBUG websockets.client | < TEXT '{"ref":null,"event":"phx_reply","payload":{"sta...:{}},"topic":"phoenix"}' [90 bytes]
2026-05-19 17:25:27,736 DEBUG realtime._async.client | receive: '{"ref":null,"event":"phx_reply","payload":{"status":"ok","response":{}},"topic":"phoenix"}'
2026-05-19 17:25:27,736 DEBUG realtime._async.client | parsed message as ReplyMessage(event=<ChannelEvents.reply: 'phx_reply'>, topic='phoenix', payload=SuccessReplyMessage(status='ok', response=ReplyPostgresChanges(postgres_changes=None)), ref=None)
2026-05-19 17:25:32,658 DEBUG websockets.client | > PING 44 d8 b5 c5 [binary, 4 bytes]
2026-05-19 17:25:32,659 DEBUG websockets.client | % sent keepalive ping
2026-05-19 17:25:32,733 DEBUG websockets.client | < PONG 44 d8 b5 c5 [binary, 4 bytes]
2026-05-19 17:25:32,733 DEBUG websockets.client | % received keepalive pong
2026-05-19 17:25:52,660 DEBUG websockets.client | > PING '5k(6' [text, 4 bytes]
2026-05-19 17:25:52,660 DEBUG websockets.client | % sent keepalive ping
2026-05-19 17:25:52,661 DEBUG realtime._async.client | send: {"event":"heartbeat","payload":{},"topic":"phoenix","ref":null,"join_ref":null}
2026-05-19 17:25:52,661 DEBUG websockets.client | > TEXT '{"event":"heartbeat","payload":{},"topic":"phoe...":null,"join_ref":null}' [79 bytes]
2026-05-19 17:25:52,735 DEBUG websockets.client | < PONG '5k(6' [text, 4 bytes]
2026-05-19 17:25:52,735 DEBUG websockets.client | % received keepalive pong
2026-05-19 17:25:52,736 DEBUG websockets.client | < TEXT '{"ref":null,"event":"phx_reply","payload":{"sta...:{}},"topic":"phoenix"}' [90 bytes]
2026-05-19 17:25:52,737 DEBUG realtime._async.client | receive: '{"ref":null,"event":"phx_reply","payload":{"status":"ok","response":{}},"topic":"phoenix"}'
2026-05-19 17:25:52,737 DEBUG realtime._async.client | parsed message as ReplyMessage(event=<ChannelEvents.reply: 'phx_reply'>, topic='phoenix', payload=SuccessReplyMessage(status='ok', response=ReplyPostgresChanges(postgres_changes=None)), ref=None)
2026-05-19 17:26:12,661 DEBUG websockets.client | > PING e6 2c 95 23 [binary, 4 bytes]
2026-05-19 17:26:12,662 DEBUG websockets.client | % sent keepalive ping
2026-05-19 17:26:12,738 DEBUG websockets.client | < PONG e6 2c 95 23 [binary, 4 bytes]
2026-05-19 17:26:12,739 DEBUG websockets.client | % received keepalive pong
2026-05-19 17:26:17,662 DEBUG realtime._async.client | send: {"event":"heartbeat","payload":{},"topic":"phoenix","ref":null,"join_ref":null}
2026-05-19 17:26:17,662 DEBUG websockets.client | > TEXT '{"event":"heartbeat","payload":{},"topic":"phoe...":null,"join_ref":null}' [79 bytes]
2026-05-19 17:26:17,750 DEBUG websockets.client | < TEXT '{"ref":null,"event":"phx_reply","payload":{"sta...:{}},"topic":"phoenix"}' [90 bytes]
2026-05-19 17:26:17,751 DEBUG realtime._async.client | receive: '{"ref":null,"event":"phx_reply","payload":{"status":"ok","response":{}},"topic":"phoenix"}'
2026-05-19 17:26:17,751 DEBUG realtime._async.client | parsed message as ReplyMessage(event=<ChannelEvents.reply: 'phx_reply'>, topic='phoenix', payload=SuccessReplyMessage(status='ok', response=ReplyPostgresChanges(postgres_changes=None)), ref=None)
2026-05-19 17:26:32,663 DEBUG websockets.client | > PING 17 8c f6 e5 [binary, 4 bytes]
2026-05-19 17:26:32,663 DEBUG websockets.client | % sent keepalive ping
2026-05-19 17:26:32,738 DEBUG websockets.client | < PONG 17 8c f6 e5 [binary, 4 bytes]
2026-05-19 17:26:32,738 DEBUG websockets.client | % received keepalive pong
2026-05-19 17:26:42,664 DEBUG realtime._async.client | send: {"event":"heartbeat","payload":{},"topic":"phoenix","ref":null,"join_ref":null}
2026-05-19 17:26:42,664 DEBUG websockets.client | > TEXT '{"event":"heartbeat","payload":{},"topic":"phoe...":null,"join_ref":null}' [79 bytes]
2026-05-19 17:26:42,740 DEBUG websockets.client | < TEXT '{"ref":null,"event":"phx_reply","payload":{"sta...:{}},"topic":"phoenix"}' [90 bytes]
2026-05-19 17:26:42,740 DEBUG realtime._async.client | receive: '{"ref":null,"event":"phx_reply","payload":{"status":"ok","response":{}},"topic":"phoenix"}'
2026-05-19 17:26:42,740 DEBUG realtime._async.client | parsed message as ReplyMessage(event=<ChannelEvents.reply: 'phx_reply'>, topic='phoenix', payload=SuccessReplyMessage(status='ok', response=ReplyPostgresChanges(postgres_changes=None)), ref=None)
2026-05-19 17:26:52,664 DEBUG websockets.client | > PING e3 5a 55 c7 [binary, 4 bytes]
2026-05-19 17:26:52,664 DEBUG websockets.client | % sent keepalive ping
2026-05-19 17:26:52,738 DEBUG websockets.client | < PONG e3 5a 55 c7 [binary, 4 bytes]
2026-05-19 17:26:52,738 DEBUG websockets.client | % received keepalive pong
2026-05-19 17:27:07,666 DEBUG realtime._async.client | send: {"event":"heartbeat","payload":{},"topic":"phoenix","ref":null,"join_ref":null}
2026-05-19 17:27:07,666 DEBUG websockets.client | > TEXT '{"event":"heartbeat","payload":{},"topic":"phoe...":null,"join_ref":null}' [79 bytes]
2026-05-19 17:27:07,741 DEBUG websockets.client | < TEXT '{"ref":null,"event":"phx_reply","payload":{"sta...:{}},"topic":"phoenix"}' [90 bytes]
2026-05-19 17:27:07,741 DEBUG realtime._async.client | receive: '{"ref":null,"event":"phx_reply","payload":{"status":"ok","response":{}},"topic":"phoenix"}'
2026-05-19 17:27:07,741 DEBUG realtime._async.client | parsed message as ReplyMessage(event=<ChannelEvents.reply: 'phx_reply'>, topic='phoenix', payload=SuccessReplyMessage(status='ok', response=ReplyPostgresChanges(postgres_changes=None)), ref=None)
2026-05-19 17:27:12,665 DEBUG websockets.client | > PING 43 88 49 94 [binary, 4 bytes]
2026-05-19 17:27:12,666 DEBUG websockets.client | % sent keepalive ping
2026-05-19 17:27:12,739 DEBUG websockets.client | < PONG 43 88 49 94 [binary, 4 bytes]
2026-05-19 17:27:12,739 DEBUG websockets.client | % received keepalive pong
2026-05-19 17:27:32,667 DEBUG websockets.client | > PING 16 73 92 04 [binary, 4 bytes]
2026-05-19 17:27:32,667 DEBUG websockets.client | % sent keepalive ping
2026-05-19 17:27:32,668 DEBUG realtime._async.client | send: {"event":"heartbeat","payload":{},"topic":"phoenix","ref":null,"join_ref":null}
2026-05-19 17:27:32,668 DEBUG websockets.client | > TEXT '{"event":"heartbeat","payload":{},"topic":"phoe...":null,"join_ref":null}' [79 bytes]
2026-05-19 17:27:32,743 DEBUG websockets.client | < PONG 16 73 92 04 [binary, 4 bytes]
2026-05-19 17:27:32,744 DEBUG websockets.client | % received keepalive pong
2026-05-19 17:27:32,744 DEBUG websockets.client | < TEXT '{"ref":null,"event":"phx_reply","payload":{"sta...:{}},"topic":"phoenix"}' [90 bytes]
2026-05-19 17:27:32,744 DEBUG realtime._async.client | receive: '{"ref":null,"event":"phx_reply","payload":{"status":"ok","response":{}},"topic":"phoenix"}'
2026-05-19 17:27:32,745 DEBUG realtime._async.client | parsed message as ReplyMessage(event=<ChannelEvents.reply: 'phx_reply'>, topic='phoenix', payload=SuccessReplyMessage(status='ok', response=ReplyPostgresChanges(postgres_changes=None)), ref=None)
2026-05-19 17:27:52,668 DEBUG websockets.client | > PING 'yl!A' [text, 4 bytes]
2026-05-19 17:27:52,669 DEBUG websockets.client | % sent keepalive ping
2026-05-19 17:27:52,746 DEBUG websockets.client | < PONG 'yl!A' [text, 4 bytes]
2026-05-19 17:27:52,747 DEBUG websockets.client | % received keepalive pong
2026-05-19 17:27:57,670 DEBUG realtime._async.client | send: {"event":"heartbeat","payload":{},"topic":"phoenix","ref":null,"join_ref":null}
2026-05-19 17:27:57,670 DEBUG websockets.client | > TEXT '{"event":"heartbeat","payload":{},"topic":"phoe...":null,"join_ref":null}' [79 bytes]
2026-05-19 17:27:57,746 DEBUG websockets.client | < TEXT '{"ref":null,"event":"phx_reply","payload":{"sta...:{}},"topic":"phoenix"}' [90 bytes]
2026-05-19 17:27:57,747 DEBUG realtime._async.client | receive: '{"ref":null,"event":"phx_reply","payload":{"status":"ok","response":{}},"topic":"phoenix"}'
2026-05-19 17:27:57,747 DEBUG realtime._async.client | parsed message as ReplyMessage(event=<ChannelEvents.reply: 'phx_reply'>, topic='phoenix', payload=SuccessReplyMessage(status='ok', response=ReplyPostgresChanges(postgres_changes=None)), ref=None)
2026-05-19 17:28:06,285 DEBUG websockets.client | < TEXT '{"ref":null,"event":"postgres_changes","payload...me-watcher-1779200652"}' [3200 bytes]
2026-05-19 17:28:06,285 DEBUG realtime._async.client | receive: '{"ref":null,"event":"postgres_changes","payload":{"data":{"table":"finalMovies","type":"UPDATE","record":{"lb_id": "tmdb/104283", "rt_id": "/m/dead-end-run", "genres": ["Thriller", "Action", "Music"], "run_id": 409, "imdb_id": "tt0403965", "lbVotes": 633, "runtime": 60, "tmdb_id": 1042834, "backdrop": "", "lbRating": 3.5, "en_poster": "", "imdbVotes": "383", "tmdbVotes": 12, "created_at": "2026-05-12T01:35:14.046596+00:00", "en_trailer": "", "imdbRating": 6.4, "popularity": 0.549, "tmdbRating": 65, "alt_options": [{"tmdb": 1294438, "year": "2024", "title": "Eden", "poster_url": "https://image.tmdb.org/t/p/w342/nOiwSpX5giobCXhRHnYojs7Yava.jpg"}, {"tmdb": 1385736, "year": "2024", "title": "EDEN", "poster_url": "https://image.tmdb.org/t/p/w342/uEuPydHNOI4EcnAlbbpmaV5XRWj.jpg"}, {"tmdb": 1464075, "year": "2024", "title": "Eden", "poster_url": "https://image.tmdb.org/t/p/w342/skOLRa8ZmBJ6YLeMppe6LmVkBVI.jpg"}, {"tmdb": 1243117, "year": "2024", "title": "Eden", "poster_url": null}, {"tmdb": 1395316, "year": "2024", "title": "Eden.", "poster_url": "https://image.tmdb.org/t/p/w342/1mAN086b38uiz5xMy6CVCSGuYTt.jpg"}, {"tmdb": 1366260, "year": "2024", "title": "EDEN", "poster_url": "https://image.tmdb.org/t/p/w342/xPU3wHwxBX79vanOqnE1LGdu7tq.jpg"}, {"tmdb": 639857, "year": "2024", "title": "The Absence of Eden", "poster_url": "https://image.tmdb.org/t/p/w342/vbkxza3vqw1KG010Q8b009quJxK.jpg"}, {"tmdb": 1154104, "year": "2023", "title": "Eden", "poster_url": "https://image.tmdb.org/t/p/w342/eM4iCK20H3ORi7DPY1OMVX8PHbV.jpg"}, {"tmdb": 821042, "year": "2023", "title": "Martin Eden", "poster_url": "https://image.tmdb.org/t/p/w342/qApYVHO6ExZ30c6KrLhGsefHhGG.jpg"}, {"tmdb": 1420446, "year": "2023", "title": "Eden", "poster_url": "https://image.tmdb.org/t/p/w342/ajSi67Hkmv1W4GfVPI6GdVEgx7u.jpg"}], "solo_update": true, "release_year": null, "english_title": "", "rtCriticVotes": 1, "rtCriticRating": 58, "rtAudienceVotes": 250, "rtAudienceRating": "55"},"columns":[{"name": "popularity", "type": "float8"}, {"name": "english_title", "type": "text"}, {"name": "release_year", "type": "int8"}, {"name": "runtime", "type": "float4"}, {"name": "tmdb_id", "type": "int4"}, {"name": "imdbRating", "type": "float8"}, {"name": "imdbVotes", "type": "text"}, {"name": "rtAudienceRating", "type": "text"}, {"name": "en_poster", "type": "text"}, {"name": "backdrop", "type": "text"}, {"name": "imdb_id", "type": "text"}, {"name": "created_at", "type": "timestamptz"}, {"name": "run_id", "type": "int4"}, {"name": "rtAudienceVotes", "type": "int4"}, {"name": "rt_id", "type": "text"}, {"name": "lb_id", "type": "text"}, {"name": "lbRating", "type": "float4"}, {"name": "lbVotes", "type": "int4"}, {"name": "tmdbRating", "type": "int4"}, {"name": "tmdbVotes", "type": "int4"}, {"name": "rtCriticRating", "type": "int4"}, {"name": "rtCriticVotes", "type": "int4"}, {"name": "en_trailer", "type": "text"}, {"name": "genres", "type": "_text"}, {"name": "alt_options", "type": "jsonb"}, {"name": "solo_update", "type": "bool"}],"errors":null,"schema":"public","commit_timestamp":"2026-05-19T14:28:53.957Z","old_record":{"tmdb_id": 104283}},"ids":[58734927]},"topic":"realtime:realtime-watcher-1779200652"}'
