[2026-05-19T17:22:35+0300] Launching realtime watcher process...
2026-05-19 17:22:36,947 DEBUG asyncio | Using selector: KqueueSelector
2026-05-19 17:22:38,551 DEBUG websockets.client | < Access-Control-Max-Age: 3600
2026-05-19 17:22:38,551 DEBUG websockets.client | < sb-gateway-version: 1
2026-05-19 17:22:38,551 DEBUG websockets.client | < sb-project-ref: gsdrcyrduxbrxgsvhxvr
2026-05-19 17:22:38,551 DEBUG websockets.client | < sb-request-id: 019e409e-c237-7b8b-b5aa-2197cfdc9a47
2026-05-19 17:22:38,551 DEBUG websockets.client | < Set-Cookie: __cf_bm=7h61MtAwTQSM7.djHziptpCzAcZ5VcDdu3dVsEXKJEQ-1779200606-1.0.1.1-rx9Y5t1UUNrDzL.Gwaw.etAKW3rprwcKfb2c5fmw55XH2Nw63gBWOlwUluby4UpSDSOdWMzo3dmJUB0NPBbWKCheyjeZx4RFHUQBSrmkN_s; path=/; expires=Tue, 19-May-26 14:53:26 GMT; domain=.supabase.co; HttpOnly; Secure; SameSite=None
2026-05-19 17:22:38,551 DEBUG websockets.client | < Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
2026-05-19 17:22:38,551 DEBUG websockets.client | < Server: cloudflare
2026-05-19 17:22:38,551 DEBUG websockets.client | < CF-RAY: 9fe3c2704984b2ed-TLV
2026-05-19 17:22:38,551 DEBUG websockets.client | < alt-svc: h3=":443"; ma=86400
2026-05-19 17:22:38,551 DEBUG websockets.client | < [body] (99 bytes)
2026-05-19 17:22:38,552 DEBUG websockets.client | > EOF
2026-05-19 17:22:38,552 DEBUG websockets.client | x closing TCP connection
2026-05-19 17:22:38,552 ERROR realtime._async.client | Connection attempt failed: server rejected WebSocket connection: HTTP 401
2026-05-19 17:22:38,552 DEBUG realtime._async.client | Retry 2/5: Next attempt in 2.00s (backoff=1.0s)
2026-05-19 17:22:38,553 DEBUG websockets.client | < EOF
2026-05-19 17:22:38,553 DEBUG websockets.client | = connection is CLOSED
2026-05-19 17:22:40,570 DEBUG websockets.client | = connection is CONNECTING
2026-05-19 17:22:40,604 DEBUG websockets.client | > GET /realtime/v1/websocket?apikey=YOUR_KEY_HERE HTTP/1.1
2026-05-19 17:22:40,604 DEBUG websockets.client | > Host: gsdrcyrduxbrxgsvhxvr.supabase.co
2026-05-19 17:22:40,604 DEBUG websockets.client | > Upgrade: websocket
2026-05-19 17:22:40,604 DEBUG websockets.client | > Connection: Upgrade
2026-05-19 17:22:40,604 DEBUG websockets.client | > Sec-WebSocket-Key: dxg3ZgvqkLA4nX+oU0OePg==
2026-05-19 17:22:40,604 DEBUG websockets.client | > Sec-WebSocket-Version: 13
2026-05-19 17:22:40,604 DEBUG websockets.client | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
2026-05-19 17:22:40,604 DEBUG websockets.client | > User-Agent: Python/3.13 websockets/15.0.1
2026-05-19 17:22:40,631 DEBUG websockets.client | < HTTP/1.1 401 Unauthorized
2026-05-19 17:22:40,631 DEBUG websockets.client | < Date: Tue, 19 May 2026 14:23:28 GMT
2026-05-19 17:22:40,631 DEBUG websockets.client | < Content-Type: application/json;charset=UTF-8
2026-05-19 17:22:40,631 DEBUG websockets.client | < Content-Length: 99
2026-05-19 17:22:40,631 DEBUG websockets.client | < Connection: keep-alive
2026-05-19 17:22:40,631 DEBUG websockets.client | < Access-Control-Allow-Origin: *
2026-05-19 17:22:40,632 DEBUG websockets.client | < Access-Control-Allow-Methods: GET,HEAD,PUT,PATCH,POST,DELETE,OPTIONS,TRACE,CONNECT
2026-05-19 17:22:40,632 DEBUG websockets.client | < Access-Control-Max-Age: 3600
2026-05-19 17:22:40,632 DEBUG websockets.client | < sb-gateway-version: 1
2026-05-19 17:22:40,632 DEBUG websockets.client | < sb-project-ref: gsdrcyrduxbrxgsvhxvr
2026-05-19 17:22:40,632 DEBUG websockets.client | < sb-request-id: 019e409e-ca9d-77a6-9d43-cedb21dfa90d
2026-05-19 17:22:40,632 DEBUG websockets.client | < Set-Cookie: __cf_bm=_EyEAyTpnD_UNANecliti9_FHv1RY1OUn.YL2HNnxIA-1779200608-1.0.1.1-.NujkR3i9Q019X1S1pB5bbsPdKhcvibhUDBC7FvAgcvjc6BEmQR0bBAmXeGM_L5OkuMh.gE80glkjmHdmgMTOskJi7uq6XJWx.4HtDGV0zs; path=/; expires=Tue, 19-May-26 14:53:28 GMT; domain=.supabase.co; HttpOnly; Secure; SameSite=None
2026-05-19 17:22:40,632 DEBUG websockets.client | < Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
2026-05-19 17:22:40,632 DEBUG websockets.client | < Server: cloudflare
2026-05-19 17:22:40,632 DEBUG websockets.client | < CF-RAY: 9fe3c27db9f054b5-TLV
2026-05-19 17:22:40,632 DEBUG websockets.client | < alt-svc: h3=":443"; ma=86400
2026-05-19 17:22:40,632 DEBUG websockets.client | < [body] (99 bytes)
2026-05-19 17:22:40,632 DEBUG websockets.client | > EOF
2026-05-19 17:22:40,632 DEBUG websockets.client | x closing TCP connection
2026-05-19 17:22:40,633 ERROR realtime._async.client | Connection attempt failed: server rejected WebSocket connection: HTTP 401
2026-05-19 17:22:40,633 DEBUG realtime._async.client | Retry 3/5: Next attempt in 4.00s (backoff=1.0s)
2026-05-19 17:22:40,634 DEBUG websockets.client | < EOF
2026-05-19 17:22:40,634 DEBUG websockets.client | = connection is CLOSED
2026-05-19 17:22:44,653 DEBUG websockets.client | = connection is CONNECTING
2026-05-19 17:22:44,683 DEBUG websockets.client | > GET /realtime/v1/websocket?apikey=YOUR_KEY_HERE HTTP/1.1
2026-05-19 17:22:44,683 DEBUG websockets.client | > Host: gsdrcyrduxbrxgsvhxvr.supabase.co
2026-05-19 17:22:44,683 DEBUG websockets.client | > Upgrade: websocket
2026-05-19 17:22:44,683 DEBUG websockets.client | > Connection: Upgrade
2026-05-19 17:22:44,683 DEBUG websockets.client | > Sec-WebSocket-Key: Lp0vfv1DNxIlBpLgrCbMvw==
2026-05-19 17:22:44,683 DEBUG websockets.client | > Sec-WebSocket-Version: 13
2026-05-19 17:22:44,684 DEBUG websockets.client | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
2026-05-19 17:22:44,684 DEBUG websockets.client | > User-Agent: Python/3.13 websockets/15.0.1
2026-05-19 17:22:44,712 DEBUG websockets.client | < HTTP/1.1 401 Unauthorized
2026-05-19 17:22:44,712 DEBUG websockets.client | < Date: Tue, 19 May 2026 14:23:33 GMT
2026-05-19 17:22:44,712 DEBUG websockets.client | < Content-Type: application/json;charset=UTF-8
2026-05-19 17:22:44,712 DEBUG websockets.client | < Content-Length: 99
2026-05-19 17:22:44,712 DEBUG websockets.client | < Connection: keep-alive
2026-05-19 17:22:44,712 DEBUG websockets.client | < Access-Control-Allow-Origin: *
2026-05-19 17:22:44,712 DEBUG websockets.client | < Access-Control-Allow-Methods: GET,HEAD,PUT,PATCH,POST,DELETE,OPTIONS,TRACE,CONNECT
2026-05-19 17:22:44,712 DEBUG websockets.client | < Access-Control-Max-Age: 3600
2026-05-19 17:22:44,712 DEBUG websockets.client | < sb-gateway-version: 1
2026-05-19 17:22:44,712 DEBUG websockets.client | < sb-project-ref: gsdrcyrduxbrxgsvhxvr
2026-05-19 17:22:44,712 DEBUG websockets.client | < sb-request-id: 019e409e-da8c-7111-954f-0d6194375def
2026-05-19 17:22:44,713 DEBUG websockets.client | < Set-Cookie: __cf_bm=gkNwlPS9Zrh3LKV0KJNCbVvj4iFnAEEWYIOcIoN1X4M-1779200613-1.0.1.1-DxEe6isgcXOjA8tiO82B_ZFe1ckwt3duEJQg_mX2xg8iZgE5.mW5EB3W7NJd9nnG600EZdT8ATV4qvI88pEI4B0nm8LpmAqgEl4zUEOs3cU; path=/; expires=Tue, 19-May-26 14:53:33 GMT; domain=.supabase.co; HttpOnly; Secure; SameSite=None
2026-05-19 17:22:44,713 DEBUG websockets.client | < Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
2026-05-19 17:22:44,713 DEBUG websockets.client | < Server: cloudflare
2026-05-19 17:22:44,713 DEBUG websockets.client | < CF-RAY: 9fe3c297385f54b5-TLV
2026-05-19 17:22:44,713 DEBUG websockets.client | < alt-svc: h3=":443"; ma=86400
2026-05-19 17:22:44,713 DEBUG websockets.client | < [body] (99 bytes)
2026-05-19 17:22:44,713 DEBUG websockets.client | > EOF
2026-05-19 17:22:44,713 DEBUG websockets.client | x closing TCP connection
2026-05-19 17:22:44,713 ERROR realtime._async.client | Connection attempt failed: server rejected WebSocket connection: HTTP 401
2026-05-19 17:22:44,713 DEBUG realtime._async.client | Retry 4/5: Next attempt in 8.00s (backoff=1.0s)
2026-05-19 17:22:44,714 DEBUG websockets.client | < EOF
2026-05-19 17:22:44,714 DEBUG websockets.client | = connection is CLOSED
2026-05-19 17:22:52,733 DEBUG websockets.client | = connection is CONNECTING
2026-05-19 17:22:52,770 DEBUG websockets.client | > GET /realtime/v1/websocket?apikey=YOUR_KEY_HERE HTTP/1.1
2026-05-19 17:22:52,770 DEBUG websockets.client | > Host: gsdrcyrduxbrxgsvhxvr.supabase.co
2026-05-19 17:22:52,770 DEBUG websockets.client | > Upgrade: websocket
2026-05-19 17:22:52,770 DEBUG websockets.client | > Connection: Upgrade
2026-05-19 17:22:52,771 DEBUG websockets.client | > Sec-WebSocket-Key: wA6z2QPMgGq4gQSk6k+n8A==
2026-05-19 17:22:52,771 DEBUG websockets.client | > Sec-WebSocket-Version: 13
2026-05-19 17:22:52,771 DEBUG websockets.client | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
2026-05-19 17:22:52,771 DEBUG websockets.client | > User-Agent: Python/3.13 websockets/15.0.1
2026-05-19 17:22:52,829 DEBUG websockets.client | < HTTP/1.1 401 Unauthorized
2026-05-19 17:22:52,829 DEBUG websockets.client | < Date: Tue, 19 May 2026 14:23:41 GMT
2026-05-19 17:22:52,829 DEBUG websockets.client | < Content-Type: application/json;charset=UTF-8
2026-05-19 17:22:52,829 DEBUG websockets.client | < Content-Length: 99
2026-05-19 17:22:52,829 DEBUG websockets.client | < Connection: keep-alive
2026-05-19 17:22:52,829 DEBUG websockets.client | < Access-Control-Allow-Origin: *
2026-05-19 17:22:52,829 DEBUG websockets.client | < Access-Control-Allow-Methods: GET,HEAD,PUT,PATCH,POST,DELETE,OPTIONS,TRACE,CONNECT
2026-05-19 17:22:52,830 DEBUG websockets.client | < Access-Control-Max-Age: 3600
2026-05-19 17:22:52,830 DEBUG websockets.client | < sb-gateway-version: 1
2026-05-19 17:22:52,830 DEBUG websockets.client | < sb-project-ref: gsdrcyrduxbrxgsvhxvr
2026-05-19 17:22:52,830 DEBUG websockets.client | < sb-request-id: 019e409e-fa3c-7664-81ed-000cad9de9f3
2026-05-19 17:22:52,830 DEBUG websockets.client | < Set-Cookie: __cf_bm=m78VZGuSQa26wr0fovuo.eeVHafKRVqt4SZqt4kuzuM-1779200621-1.0.1.1-KkWm4lfwJUhV7GJd8uAS3g4rZ3dr0M2hL2FSsoG4cc3e_3l5PBMkRb9MuTpBcATJLfWD0lfi2dhCAC.z0Xf_8t6TEN0eX1Vc5x5FUfntwGg; path=/; expires=Tue, 19-May-26 14:53:41 GMT; domain=.supabase.co; HttpOnly; Secure; SameSite=None
2026-05-19 17:22:52,831 DEBUG websockets.client | < Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
2026-05-19 17:22:52,831 DEBUG websockets.client | < Server: cloudflare
2026-05-19 17:22:52,831 DEBUG websockets.client | < CF-RAY: 9fe3c2c9cace8e44-TLV
2026-05-19 17:22:52,831 DEBUG websockets.client | < alt-svc: h3=":443"; ma=86400
2026-05-19 17:22:52,831 DEBUG websockets.client | < [body] (99 bytes)
2026-05-19 17:22:52,831 DEBUG websockets.client | > EOF
2026-05-19 17:22:52,831 DEBUG websockets.client | x closing TCP connection
2026-05-19 17:22:52,832 ERROR realtime._async.client | Connection attempt failed: server rejected WebSocket connection: HTTP 401
2026-05-19 17:22:52,832 ERROR realtime._async.client | Connection failed permanently after 5 attempts. Error: server rejected WebSocket connection: HTTP 401
2026-05-19 17:22:52,832 ERROR realtime_watcher.listener | Realtime subscription loop error (server rejected WebSocket connection: HTTP 401). Reconnecting in 3.0s...
Traceback (most recent call last):
  File "/Users/jeremyjacob/Documents/Coding Projects/Kartiseret/NewScraping-August2025/backend/config/realtime/realtime_watcher.py", line 155, in _subscribe_forever
    await client.realtime.connect()
  File "/Users/jeremyjacob/Documents/Coding Projects/Kartiseret/NewScraping-August2025/.venv/lib/python3.13/site-packages/realtime/_async/client.py", line 170, in connect
    ws = await connect(self.url)
         ^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/jeremyjacob/Documents/Coding Projects/Kartiseret/NewScraping-August2025/.venv/lib/python3.13/site-packages/websockets/asyncio/client.py", line 543, in __await_impl__
    await self.connection.handshake(
    ...<2 lines>...
    )
  File "/Users/jeremyjacob/Documents/Coding Projects/Kartiseret/NewScraping-August2025/.venv/lib/python3.13/site-packages/websockets/asyncio/client.py", line 114, in handshake
    raise self.protocol.handshake_exc
  File "/Users/jeremyjacob/Documents/Coding Projects/Kartiseret/NewScraping-August2025/.venv/lib/python3.13/site-packages/websockets/client.py", line 325, in parse
    self.process_response(response)
    ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^
  File "/Users/jeremyjacob/Documents/Coding Projects/Kartiseret/NewScraping-August2025/.venv/lib/python3.13/site-packages/websockets/client.py", line 142, in process_response
    raise InvalidStatus(response)
websockets.exceptions.InvalidStatus: server rejected WebSocket connection: HTTP 401
2026-05-19 17:22:52,841 DEBUG websockets.client | < EOF
2026-05-19 17:22:52,842 DEBUG websockets.client | = connection is CLOSED
2026-05-19 17:22:55,843 DEBUG realtime._async.client | send: {"event":"phx_leave","payload":{},"topic":"realtime:realtime-watcher-1779200557","ref":"1","join_ref":null}
2026-05-19 17:22:55,858 DEBUG realtime._async.client | Attempting to connect to WebSocket at wss://gsdrcyrduxbrxgsvhxvr.supabase.co/realtime/v1/websocket?apikey=YOUR_KEY_HERE
2026-05-19 17:22:55,872 DEBUG websockets.client | = connection is CONNECTING
2026-05-19 17:22:55,902 DEBUG websockets.client | > GET /realtime/v1/websocket?apikey=YOUR_KEY_HERE HTTP/1.1
2026-05-19 17:22:55,902 DEBUG websockets.client | > Host: gsdrcyrduxbrxgsvhxvr.supabase.co
2026-05-19 17:22:55,902 DEBUG websockets.client | > Upgrade: websocket
2026-05-19 17:22:55,902 DEBUG websockets.client | > Connection: Upgrade
2026-05-19 17:22:55,902 DEBUG websockets.client | > Sec-WebSocket-Key: Yhp7ojj3W7uzJKPWJxM1jg==
2026-05-19 17:22:55,902 DEBUG websockets.client | > Sec-WebSocket-Version: 13
2026-05-19 17:22:55,902 DEBUG websockets.client | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
2026-05-19 17:22:55,902 DEBUG websockets.client | > User-Agent: Python/3.13 websockets/15.0.1
2026-05-19 17:22:55,927 DEBUG websockets.client | < HTTP/1.1 401 Unauthorized
2026-05-19 17:22:55,927 DEBUG websockets.client | < Date: Tue, 19 May 2026 14:23:44 GMT
2026-05-19 17:22:55,927 DEBUG websockets.client | < Content-Type: application/json;charset=UTF-8
2026-05-19 17:22:55,927 DEBUG websockets.client | < Content-Length: 99
2026-05-19 17:22:55,927 DEBUG websockets.client | < Connection: keep-alive
2026-05-19 17:22:55,927 DEBUG websockets.client | < Access-Control-Allow-Origin: *
2026-05-19 17:22:55,927 DEBUG websockets.client | < Access-Control-Allow-Methods: GET,HEAD,PUT,PATCH,POST,DELETE,OPTIONS,TRACE,CONNECT
2026-05-19 17:22:55,927 DEBUG websockets.client | < Access-Control-Max-Age: 3600
2026-05-19 17:22:55,927 DEBUG websockets.client | < sb-gateway-version: 1
2026-05-19 17:22:55,927 DEBUG websockets.client | < sb-project-ref: gsdrcyrduxbrxgsvhxvr
2026-05-19 17:22:55,927 DEBUG websockets.client | < sb-request-id: 019e409f-065d-71ad-a1b3-5c790724d542
2026-05-19 17:22:55,927 DEBUG websockets.client | < Set-Cookie: __cf_bm=Urocp0EU_gQXEDpq0dhsYnsV95jcOH8iMqP82WK7AJg-1779200624-1.0.1.1-AYLWST4RMBD.KAGDg8y65uTS_lB4y64twIVsvFMeXIcrqgX8CGfezmq4evhpx7ddl_FmCp6G7xmnoYfrVJ30C2oFP2Vly6rgUjpnHw_6VYw; path=/; expires=Tue, 19-May-26 14:53:44 GMT; domain=.supabase.co; HttpOnly; Secure; SameSite=None
2026-05-19 17:22:55,927 DEBUG websockets.client | < Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
2026-05-19 17:22:55,928 DEBUG websockets.client | < Server: cloudflare
2026-05-19 17:22:55,928 DEBUG websockets.client | < CF-RAY: 9fe3c2dd5c1554b5-TLV
2026-05-19 17:22:55,928 DEBUG websockets.client | < alt-svc: h3=":443"; ma=86400
2026-05-19 17:22:55,928 DEBUG websockets.client | < [body] (99 bytes)
2026-05-19 17:22:55,928 DEBUG websockets.client | > EOF
2026-05-19 17:22:55,928 DEBUG websockets.client | x closing TCP connection
2026-05-19 17:22:55,928 ERROR realtime._async.client | Connection attempt failed: server rejected WebSocket connection: HTTP 401
2026-05-19 17:22:55,928 DEBUG realtime._async.client | Retry 1/5: Next attempt in 1.00s (backoff=1.0s)
2026-05-19 17:22:55,928 DEBUG websockets.client | < EOF
2026-05-19 17:22:55,929 DEBUG websockets.client | = connection is CLOSED
2026-05-19 17:22:56,943 DEBUG websockets.client | = connection is CONNECTING
2026-05-19 17:22:56,979 DEBUG websockets.client | > GET /realtime/v1/websocket?apikey=YOUR_KEY_HERE HTTP/1.1
2026-05-19 17:22:56,980 DEBUG websockets.client | > Host: gsdrcyrduxbrxgsvhxvr.supabase.co
2026-05-19 17:22:56,980 DEBUG websockets.client | > Upgrade: websocket
2026-05-19 17:22:56,980 DEBUG websockets.client | > Connection: Upgrade
2026-05-19 17:22:56,980 DEBUG websockets.client | > Sec-WebSocket-Key: dFSA2SjkA/PlfMrcynWSdQ==
2026-05-19 17:22:56,980 DEBUG websockets.client | > Sec-WebSocket-Version: 13
2026-05-19 17:22:56,980 DEBUG websockets.client | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
2026-05-19 17:22:56,980 DEBUG websockets.client | > User-Agent: Python/3.13 websockets/15.0.1
2026-05-19 17:22:57,015 DEBUG websockets.client | < HTTP/1.1 401 Unauthorized
2026-05-19 17:22:57,015 DEBUG websockets.client | < Date: Tue, 19 May 2026 14:23:45 GMT
2026-05-19 17:22:57,015 DEBUG websockets.client | < Content-Type: application/json;charset=UTF-8
2026-05-19 17:22:57,015 DEBUG websockets.client | < Content-Length: 99
2026-05-19 17:22:57,015 DEBUG websockets.client | < Connection: keep-alive
2026-05-19 17:22:57,015 DEBUG websockets.client | < Access-Control-Allow-Origin: *
2026-05-19 17:22:57,015 DEBUG websockets.client | < Access-Control-Allow-Methods: GET,HEAD,PUT,PATCH,POST,DELETE,OPTIONS,TRACE,CONNECT
2026-05-19 17:22:57,015 DEBUG websockets.client | < Access-Control-Max-Age: 3600
2026-05-19 17:22:57,015 DEBUG websockets.client | < sb-gateway-version: 1
2026-05-19 17:22:57,015 DEBUG websockets.client | < sb-project-ref: gsdrcyrduxbrxgsvhxvr
2026-05-19 17:22:57,015 DEBUG websockets.client | < sb-request-id: 019e409f-0a98-7e47-b804-a83212491062
2026-05-19 17:22:57,015 DEBUG websockets.client | < Set-Cookie: __cf_bm=A6LUxrQjkmlhym1RFwi.nMaw2x8152fE1zlyQ0k9nuk-1779200625-1.0.1.1-TfKEMBpsMmSRI.Xg6F07nwIC4ZRJq6KXeoZMbXn88ty5atc8URqL79ThNYrHf04yh9.0wbRoOEjPIAeiiX3zzWKaJP11vUoh7cQ5cuHFCCk; path=/; expires=Tue, 19-May-26 14:53:45 GMT; domain=.supabase.co; HttpOnly; Secure; SameSite=None
2026-05-19 17:22:57,015 DEBUG websockets.client | < Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
2026-05-19 17:22:57,015 DEBUG websockets.client | < Server: cloudflare
2026-05-19 17:22:57,015 DEBUG websockets.client | < CF-RAY: 9fe3c2e41cde8e4e-TLV
2026-05-19 17:22:57,015 DEBUG websockets.client | < alt-svc: h3=":443"; ma=86400
2026-05-19 17:22:57,016 DEBUG websockets.client | < [body] (99 bytes)
2026-05-19 17:22:57,016 DEBUG websockets.client | > EOF
2026-05-19 17:22:57,016 DEBUG websockets.client | x closing TCP connection
2026-05-19 17:22:57,016 ERROR realtime._async.client | Connection attempt failed: server rejected WebSocket connection: HTTP 401
2026-05-19 17:22:57,016 DEBUG realtime._async.client | Retry 2/5: Next attempt in 2.00s (backoff=1.0s)
2026-05-19 17:22:57,016 DEBUG websockets.client | < EOF
2026-05-19 17:22:57,016 DEBUG websockets.client | = connection is CLOSED
2026-05-19 17:22:59,033 DEBUG websockets.client | = connection is CONNECTING
2026-05-19 17:22:59,069 DEBUG websockets.client | > GET /realtime/v1/websocket?apikey=YOUR_KEY_HERE HTTP/1.1
2026-05-19 17:22:59,069 DEBUG websockets.client | > Host: gsdrcyrduxbrxgsvhxvr.supabase.co
2026-05-19 17:22:59,069 DEBUG websockets.client | > Upgrade: websocket
2026-05-19 17:22:59,069 DEBUG websockets.client | > Connection: Upgrade
2026-05-19 17:22:59,069 DEBUG websockets.client | > Sec-WebSocket-Key: Cv1w2mZRRUlNeGH12pBGEw==
2026-05-19 17:22:59,069 DEBUG websockets.client | > Sec-WebSocket-Version: 13
2026-05-19 17:22:59,069 DEBUG websockets.client | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
2026-05-19 17:22:59,069 DEBUG websockets.client | > User-Agent: Python/3.13 websockets/15.0.1
2026-05-19 17:22:59,097 DEBUG websockets.client | < HTTP/1.1 401 Unauthorized
2026-05-19 17:22:59,097 DEBUG websockets.client | < Date: Tue, 19 May 2026 14:23:47 GMT
2026-05-19 17:22:59,097 DEBUG websockets.client | < Content-Type: application/json;charset=UTF-8
2026-05-19 17:22:59,097 DEBUG websockets.client | < Content-Length: 99
2026-05-19 17:22:59,097 DEBUG websockets.client | < Connection: keep-alive
2026-05-19 17:22:59,098 DEBUG websockets.client | < Access-Control-Allow-Origin: *
