title,year,valid,runtime,imdbID,imdbRating,imdbVotes,rtRating,popularity,poster
Red One,2024,yes,123,tt14948432,6.9,37K,30,52.09,https://m.media-amazon.com/images/M/MV5BZmFkMjE4NjQtZTVmZS00MDZjLWE2ZmEtZTkzODljNjhlNWUxXkEyXkFqcGc@._V1_SX300.jpg
Sonic the Hedgehog 3,2024,yes,109,tt18259086,0.0,0,0,95.86,https://m.media-amazon.com/images/M/MV5BMjZjNjE5NDEtOWJjYS00Mjk2LWI1ZDYtOWI1ZWI3MzRjM2UzXkEyXkFqcGc@._V1_SX300.jpg
Stand Up Rahul,2022,yes,142,tt14806338,5.1,1000,0,53.49,https://m.media-amazon.com/images/M/MV5BNjQ4NmU5ZGMtZWY4OS00NzVkLWE2NWYtODE2NTQwN2ZlZDVlXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_SX300.jpg
The Book of Wonders,2023,yes,94,tt14342018,6.5,600,0,92.99,https://m.media-amazon.com/images/M/MV5BZWNjMjY4ZWMtMjljZS00YTg0LWJhMzEtNzYzYWUyYmZkYWExXkEyXkFqcGc@._V1_SX300.jpg
The Braid,2023,yes,121,tt19894774,7.2,1K,0,46.73,https://m.media-amazon.com/images/M/MV5BMTJkZTQ1ZWEtMzQ1Ni00MmU2LTgzZTctYmI4MDc4YWJhMWViXkEyXkFqcGc@._V1_SX300.jpg
The Lord of the Rings: The War of the Rohirrim,2024,yes,134,tt14824600,0.0,0,50,59.38,https://m.media-amazon.com/images/M/MV5BMmU1YzZkMjAtYjNjOC00ZDFhLWE3Y2QtZTM2ZTdkZWM1OGM3XkEyXkFqcGc@._V1_SX300.jpg
The Mario and Sonic Tribute - Headstrong 3,2022,yes,8,tt11534542,0.0,0,0,91.94,https://m.media-amazon.com/images/M/MV5BOWE2Y2Y3NTgtNWQ3OS00YjU0LTkwNjktMmRiOTdhNDZiNjE5XkEyXkFqcGdeQXVyMzY2MzM4NzM@._V1_SX300.jpg
The Order,2024,yes,114,tt26625693,7.1,500,89,93.53,https://m.media-amazon.com/images/M/MV5BZWIxOGQyYjYtOGEwOC00YWNjLWJmNTktZjJlM2RmNTdjMmVlXkEyXkFqcGc@._V1_SX300.jpg
The Other Way Around,2024,yes,114,tt32128317,6.7,700,92,49.07,https://m.media-amazon.com/images/M/MV5BNTVkNDU5NzUtMTUzZS00MTgzLWJjZTgtNjM1YmI2ODFlMDYzXkEyXkFqcGc@._V1_SX300.jpg
The Property,2024,yes,110,tt32799295,0.0,0,0,64.56,https://m.media-amazon.com/images/M/MV5BMmYyMmNiZWUtMmUxYS00Mjg5LThmMjEtODgxMTVmZDJjY2YwXkEyXkFqcGc@._V1_SX300.jpg
The Ring,2024,yes,120,tt32799276,0.0,0,0,78.73,https://m.media-amazon.com/images/M/MV5BNmYxZDRkOTEtMjcyYS00MDlhLTk5OGItNDNiMTA4NzBjNjJmXkEyXkFqcGc@._V1_SX300.jpg
The Room Next Door,2024,yes,107,tt29439114,7.0,6K,87,80.14,https://m.media-amazon.com/images/M/MV5BYzk2MjI1YTgtOTcxYS00OTUyLTgyOTAtMGE0OGYyMjc0MTc3XkEyXkFqcGc@._V1_SX300.jpg
The Substance,2024,yes,141,tt17526714,7.4,169K,90,60.82,https://m.media-amazon.com/images/M/MV5BZDQ1NGE5MGMtYzdlZC00ODExLWJlMDMtNWU4NjA5OWYwMDEwXkEyXkFqcGc@._V1_SX300.jpg
The Successor,2023,yes,112,tt26597953,6.9,900,75,84.84,https://m.media-amazon.com/images/M/MV5BZWQwMzgzNjItNTcxZC00Zjk4LWIyMzAtYWZiMGIwZTQ1ZmQwXkEyXkFqcGc@._V1_SX300.jpg
The Wife and Her Secret,2023,yes,65,tt27892591,2.8,0,0,55.81,https://m.media-amazon.com/images/M/MV5BYTMwZDhiNGEtOWE1My00MGNmLWIwMzEtZDE2MjRkOTVjNzcyXkEyXkFqcGc@._V1_SX300.jpg
This Ain't Pretty Woman,2024,yes,119,tt33186656,0.0,0,0,91.86,https://m.media-amazon.com/images/M/MV5BNDRjZjRiMzYtNTk3Ny00YjM4LWE5YzAtNDM2M2NmNjI1MWFhXkEyXkFqcGc@._V1_SX300.jpg
Under Therapy,2023,yes,93,tt15977250,6.7,2K,0,47.02,https://m.media-amazon.com/images/M/MV5BZmMzODRkN2UtNGY2Zi00NTk3LTkzZTQtMTFmYTZlMTRiMjA2XkEyXkFqcGc@._V1_SX300.jpg
Venom: The Last Dance,2024,yes,110,tt16366836,6.0,69K,41,24.44,https://m.media-amazon.com/images/M/MV5BZDMyYWU4NzItZDY0MC00ODE2LTkyYTMtMzNkNDdmYmFhZDg0XkEyXkFqcGc@._V1_SX300.jpg
Weekend in Taipei,2024,yes,100,tt28142896,5.7,3K,52,36.11,https://m.media-amazon.com/images/M/MV5BY2JiNDJiN2EtNGRlNC00ODE2LTgwNmQtOGFiZTk0NjZlMmFhXkEyXkFqcGc@._V1_SX300.jpg
Wicked,2024,yes,160,tt1262426,8.0,70K,88,88.53,https://m.media-amazon.com/images/M/MV5BOWMwYjYzYmMtMWQ2Ni00NWUwLTg2MzAtYzkzMDBiZDIwOTMwXkEyXkFqcGc@._V1_SX300.jpg
Winnie-the-Pooh: Blood and Honey 2,2024,yes,93,tt23330554,4.7,10K,0,73.26,https://m.media-amazon.com/images/M/MV5BZmU2YmNlOTYtYWY5OS00YTk1LWExNzctMTAxYzY3ZDA1OTE5XkEyXkFqcGc@._V1_SX300.jpg
