popularity,title,year,valid,runtime,imdbID,imdbRating,imdbVotes,rtRating,poster
59.15,Cocorico,2024,yes,92,tt19381382,5.8,3K,0,https://m.media-amazon.com/images/M/MV5BMDQ4ODhkMGQtMDdhYS00YmU4LWI3NjItMzhhYzg0M2EwNTdmXkEyXkFqcGc@._V1_SX300.jpg
50.00,Dirty Angels,2024,yes,104,tt23872640,4.1,1K,32,https://m.media-amazon.com/images/M/MV5BNGZlN2RmM2MtODgyYS00MGJiLWE4OGEtNzJiMjlhMzVjZDc0XkEyXkFqcGc@._V1_SX300.jpg
45.74,Emilia Pérez,2024,yes,132,tt20221436,6.8,17K,0,https://m.media-amazon.com/images/M/MV5BNjBhMWVmYjQtYmI2NC00NjdiLTliMjQtODliYjI5OTZmMzczXkEyXkFqcGc@._V1_SX300.jpg
53.66,Falling for Figaro,2020,yes,104,tt7392014,6.5,4K,73,https://m.media-amazon.com/images/M/MV5BYjg1M2IzZTMtY2Y4NC00MGNmLWIyODUtM2ZkZDVmMzc0N2Y3XkEyXkFqcGc@._V1_SX300.jpg
52.68,Ghost Cat Anzu,2024,yes,97,tt28036831,6.6,300,65,https://m.media-amazon.com/images/M/MV5BNDk3MmMyNTMtMjgxOC00NjBhLThmYjMtNzBiY2I5ZTJhZjNjXkEyXkFqcGc@._V1_SX300.jpg
62.66,Gladiator II,2024,yes,148,tt9218128,6.9,113K,71,https://m.media-amazon.com/images/M/MV5BMWYzZTM5ZGQtOGE5My00NmM2LWFlMDEtMGNjYjdmOWM1MzA1XkEyXkFqcGc@._V1_SX300.jpg
63.55,Here,2024,yes,104,tt18272208,6.2,6K,37,https://m.media-amazon.com/images/M/MV5BYWQ5ZDQ5YWQtMThiMS00MGM4LTk2NjktYTllYzg2NTRiNTMxXkEyXkFqcGc@._V1_SX300.jpg
59.45,Here Now,2024,yes,118,tt29293152,0.0,0,0,https://m.media-amazon.com/images/M/MV5BMTRhYmMxMGEtNTA2ZS00MzMwLTk4NmItYTcyYWJjYjhmMTYwXkEyXkFqcGc@._V1_SX300.jpg
57.80,Heretic,2024,yes,111,tt28015403,7.1,50K,91,https://m.media-amazon.com/images/M/MV5BMzFiMWM4YjAtY2Y3Yi00MDIzLTk0N2MtYTAwNGM3ZmMwODhlXkEyXkFqcGc@._V1_SX300.jpg
59.00,Hounds of War,2024,yes,95,tt12972134,4.5,1K,0,https://m.media-amazon.com/images/M/MV5BMGM4NTYxMjktOTIxMS00NTQ0LWI1ZjAtY2JmODM1YjgyNTUzXkEyXkFqcGc@._V1_SX300.jpg
59.08,It Ends with Us,2024,yes,130,tt10655524,6.5,59K,55,https://m.media-amazon.com/images/M/MV5BYzM2NGMzNGQtZjNhMi00MTVkLTg2ZGQtN2M4OTllYzU1Y2Y0XkEyXkFqcGc@._V1_SX300.jpg
32.14,Kraven the Hunter,2024,yes,127,tt8790086,0.0,0,15,https://m.media-amazon.com/images/M/MV5BZDU0YTI5ODAtN2NmMS00YTg3LTgyNDItN2RmOWEzOTkzZjcyXkEyXkFqcGc@._V1_SX300.jpg
44.15,La chambre des merveilles,2017,yes,53,tt14613124,0.0,0,0,https://m.media-amazon.com/images/M/MV5BMzg0ZGU3YTQtZWRhYS00MDliLWFhNDMtMTU2OGUwMmI3N2QyXkEyXkFqcGdeQXVyMjIwNjIxNjc@._V1_SX300.jpg
63.83,Lee,2023,yes,117,tt5112584,6.9,14K,66,https://m.media-amazon.com/images/M/MV5BMDlhMDY0NTAtOTQwZi00ZjIxLTk2ZmYtZjU1Y2FiYWRhZDk3XkEyXkFqcGc@._V1_SX300.jpg
51.22,Macbeth,2015,yes,113,tt2884018,6.6,60K,80,https://m.media-amazon.com/images/M/MV5BNzgyNDczMjU4NV5BMl5BanBnXkFtZTgwMTUwMDI3NjE@._V1_SX300.jpg
69.69,Matchmaking 2,2024,yes,110,tt34170136,7.9,0,0,https://m.media-amazon.com/images/M/MV5BYTQ5MDRiZjMtNzRjMi00Njk4LTliMjQtMTQxMjhlOGYxNDM5XkEyXkFqcGc@._V1_SX300.jpg
70.69,Moana 2,2024,yes,100,tt13622970,6.9,49K,61,https://m.media-amazon.com/images/M/MV5BZDUxNThhYTUtYjgxNy00MGQ4LTgzOTEtZjg1YTU5NTcwNThlXkEyXkFqcGc@._V1_SX300.jpg
73.26,Mufasa: The Lion King,2024,yes,120,tt13186482,0.0,0,0,https://m.media-amazon.com/images/M/MV5BYjBkOWUwODYtYWI3YS00N2I0LWEyYTktOTJjM2YzOTc3ZDNlXkEyXkFqcGc@._V1_SX300.jpg
87.91,Nosferatu,2024,yes,133,tt5040012,0.0,0,94,https://m.media-amazon.com/images/M/MV5BY2FhZGE3NmEtNWJjOC00NDI1LWFhMTQtMjcxNmQzZmEwNGIzXkEyXkFqcGc@._V1_SX300.jpg
65.42,Queer,2024,yes,135,tt24176060,5.6,1K,77,https://m.media-amazon.com/images/M/MV5BNWIyMGM0Y2QtMzIwNy00MzM1LTkxZWEtYTcwMzM1MzNiMmNjXkEyXkFqcGc@._V1_SX300.jpg
54.48,Red One,2024,yes,123,tt14948432,6.9,37K,30,https://m.media-amazon.com/images/M/MV5BZmFkMjE4NjQtZTVmZS00MDZjLWE2ZmEtZTkzODljNjhlNWUxXkEyXkFqcGc@._V1_SX300.jpg
88.04,Sonic the Hedgehog 3,2024,yes,109,tt18259086,0.0,0,0,https://m.media-amazon.com/images/M/MV5BMjZjNjE5NDEtOWJjYS00Mjk2LWI1ZDYtOWI1ZWI3MzRjM2UzXkEyXkFqcGc@._V1_SX300.jpg
52.99,The Book of Wonders,2023,yes,94,tt14342018,6.5,600,0,https://m.media-amazon.com/images/M/MV5BZWNjMjY4ZWMtMjljZS00YTg0LWJhMzEtNzYzYWUyYmZkYWExXkEyXkFqcGc@._V1_SX300.jpg
41.20,The Braid,2023,yes,121,tt19894774,7.2,1K,0,https://m.media-amazon.com/images/M/MV5BMTJkZTQ1ZWEtMzQ1Ni00MmU2LTgzZTctYmI4MDc4YWJhMWViXkEyXkFqcGc@._V1_SX300.jpg
58.54,The Lord of the Rings: The War of the Rohirrim,2024,yes,134,tt14824600,6.5,14K,50,https://m.media-amazon.com/images/M/MV5BMmU1YzZkMjAtYjNjOC00ZDFhLWE3Y2QtZTM2ZTdkZWM1OGM3XkEyXkFqcGc@._V1_SX300.jpg
60.15,The Most Precious of Cargoes,2024,yes,81,tt10462154,7.1,400,50,https://m.media-amazon.com/images/M/MV5BM2MxM2EyMzItNWMxYS00YzhkLTk1ZDgtMjM2Y2I1MzZlYWEzXkEyXkFqcGc@._V1_SX300.jpg
86.16,The Order,2024,yes,114,tt26625693,7.1,500,89,https://m.media-amazon.com/images/M/MV5BZWIxOGQyYjYtOGEwOC00YWNjLWJmNTktZjJlM2RmNTdjMmVlXkEyXkFqcGc@._V1_SX300.jpg
57.32,The Other Way Around,2024,yes,114,tt32128317,6.7,700,92,https://m.media-amazon.com/images/M/MV5BNTVkNDU5NzUtMTUzZS00MTgzLWJjZTgtNjM1YmI2ODFlMDYzXkEyXkFqcGc@._V1_SX300.jpg
64.08,The Property,2024,yes,110,tt32799295,0.0,0,0,https://m.media-amazon.com/images/M/MV5BMmYyMmNiZWUtMmUxYS00Mjg5LThmMjEtODgxMTVmZDJjY2YwXkEyXkFqcGc@._V1_SX300.jpg
61.66,The Ring,2024,yes,120,tt32799276,0.0,0,0,https://m.media-amazon.com/images/M/MV5BNmYxZDRkOTEtMjcyYS00MDlhLTk5OGItNDNiMTA4NzBjNjJmXkEyXkFqcGc@._V1_SX300.jpg
57.39,The Room Next Door,2024,yes,107,tt29439114,7.0,6K,87,https://m.media-amazon.com/images/M/MV5BYzk2MjI1YTgtOTcxYS00OTUyLTgyOTAtMGE0OGYyMjc0MTc3XkEyXkFqcGc@._V1_SX300.jpg
49.47,The Substance,2024,yes,141,tt17526714,7.4,169K,90,https://m.media-amazon.com/images/M/MV5BZDQ1NGE5MGMtYzdlZC00ODExLWJlMDMtNWU4NjA5OWYwMDEwXkEyXkFqcGc@._V1_SX300.jpg
64.53,The Successor,2023,yes,112,tt26597953,6.9,900,75,https://m.media-amazon.com/images/M/MV5BZWQwMzgzNjItNTcxZC00Zjk4LWIyMzAtYWZiMGIwZTQ1ZmQwXkEyXkFqcGc@._V1_SX300.jpg
54.88,The Wife and Her Secret,2023,yes,65,tt27892591,2.8,0,0,https://m.media-amazon.com/images/M/MV5BYTMwZDhiNGEtOWE1My00MGNmLWIwMzEtZDE2MjRkOTVjNzcyXkEyXkFqcGc@._V1_SX300.jpg
47.30,Under Therapy,2023,yes,93,tt15977250,6.7,2K,0,https://m.media-amazon.com/images/M/MV5BZmMzODRkN2UtNGY2Zi00NTk3LTkzZTQtMTFmYTZlMTRiMjA2XkEyXkFqcGc@._V1_SX300.jpg
41.54,Venom: The Last Dance,2024,yes,110,tt16366836,6.0,69K,41,https://m.media-amazon.com/images/M/MV5BZDMyYWU4NzItZDY0MC00ODE2LTkyYTMtMzNkNDdmYmFhZDg0XkEyXkFqcGc@._V1_SX300.jpg
36.81,Weekend in Taipei,2024,yes,100,tt28142896,5.7,3K,52,https://m.media-amazon.com/images/M/MV5BY2JiNDJiN2EtNGRlNC00ODE2LTgwNmQtOGFiZTk0NjZlMmFhXkEyXkFqcGc@._V1_SX300.jpg
75.32,Wicked,2024,yes,160,tt1262426,8.0,70K,88,https://m.media-amazon.com/images/M/MV5BOWMwYjYzYmMtMWQ2Ni00NWUwLTg2MzAtYzkzMDBiZDIwOTMwXkEyXkFqcGc@._V1_SX300.jpg
31.95,Winnie-the-Pooh: Blood and Honey 2,2024,yes,93,tt23330554,4.7,10K,0,https://m.media-amazon.com/images/M/MV5BZmU2YmNlOTYtYWY5OS00YTk1LWExNzctMTAxYzY3ZDA1OTE5XkEyXkFqcGc@._V1_SX300.jpg
