cinema,datetext,timetext,partialHref,title,snif,type
CC,25-01-07,20:15,5241,9/11: I Was There,Ashdod,R
CC,25-01-07,21:20,5241,9/11: I Was There,Ashdod,R
YP,25-01-07,13:00,66919,A Real Pain,Rishon Letzion,R
ML,25-01-07,13:15,61724,A Real Pain,Carmiel,R
ML,25-01-07,15:20,61723,A Real Pain,Carmiel,R
ML,25-01-07,19:30,61722,A Real Pain,Carmiel,R
YP,25-01-07,13:30,47124,A Real Pain,Ayalon,R
YP,25-01-07,14:15,68478,A Real Pain,Beer Sheva,R
YP,25-01-07,17:00,68479,A Real Pain,Beer Sheva,R
YP,25-01-07,13:00,57901,A Real Pain,Zichron Yaakov,R
YP,25-01-07,13:45,73235,A Real Pain,Haifa,R
YP,25-01-07,13:00,68351,A Real Pain,Jerusalem,R
ML,25-01-07,15:10,58227,A Real Pain,Haifa,R
ML,25-01-07,19:35,58225,A Real Pain,Haifa,R
ML,25-01-07,21:45,58226,A Real Pain,Haifa,R
LC,25-01-07,13:30,563169,A Real Pain,Even Yehuda,R
LC,25-01-07,20:45,563170,A Real Pain,Even Yehuda,R
LC,25-01-07,16:10,563300,A Real Pain,Raanana,R
LC,25-01-07,20:50,563299,A Real Pain,Raanana,R
LC,25-01-07,16:30,563488,A Real Pain,Tel Aviv,R
LC,25-01-07,21:30,563489,A Real Pain,Tel Aviv,R
HC,25-01-07,13:00,2912,A Real Pain,Kiryat Bialik,R
HC,25-01-07,15:00,2912,A Real Pain,Kiryat Bialik,R
HC,25-01-07,19:20,2912,A Real Pain,Kiryat Bialik,R
HC,25-01-07,13:40,2912,A Real Pain,Haifa,R
HC,25-01-07,15:45,2912,A Real Pain,Haifa,R
HC,25-01-07,17:50,2912,A Real Pain,Haifa,R
HC,25-01-07,19:50,2912,A Real Pain,Haifa,R
HC,25-01-07,17:50,2912,A Real Pain,Kfar Saba,R
HC,25-01-07,19:50,2912,A Real Pain,Kfar Saba,R
HC,25-01-07,15:30,2912,A Real Pain,Modiin,R
HC,25-01-07,17:40,2912,A Real Pain,Modiin,R
HC,25-01-07,19:45,2912,A Real Pain,Modiin,R
HC,25-01-07,21:50,2912,A Real Pain,Modiin,R
ML,25-01-07,14:45,81439,A Real Pain,Netanya,R
ML,25-01-07,19:35,81437,A Real Pain,Netanya,R
ML,25-01-07,21:50,81438,A Real Pain,Netanya,R
CC,25-01-07,15:20,5324,A Real Pain,Glilot,R
CC,25-01-07,19:00,5324,A Real Pain,Glilot,R
CC,25-01-07,21:10,5324,A Real Pain,Glilot,R
CC,25-01-07,13:30,5324,A Real Pain,Rishon Letzion,R
CC,25-01-07,15:30,5324,A Real Pain,Rishon Letzion,R
CC,25-01-07,18:40,5324,A Real Pain,Rishon Letzion,R
CC,25-01-07,21:40,5324,A Real Pain,Rishon Letzion,R
CC,25-01-07,14:10,5324,A Real Pain,Jerusalem,R
CC,25-01-07,19:40,5324,A Real Pain,Jerusalem,R
CC,25-01-07,21:50,5324,A Real Pain,Jerusalem,R
CC,25-01-07,13:30,5324,A Real Pain,Kfar Saba,R
CC,25-01-07,21:20,5324,A Real Pain,Kfar Saba,Prime
CC,25-01-07,14:30,5324,A Real Pain,Netanya,R
CC,25-01-07,21:30,5324,A Real Pain,Netanya,R
CC,25-01-07,14:30,5324,A Real Pain,Beer Sheva,R
CC,25-01-07,19:10,5324,A Real Pain,Beer Sheva,R
CC,25-01-07,16:00,5324,A Real Pain,Chadera,R
CC,25-01-07,19:40,5324,A Real Pain,Chadera,R
CC,25-01-07,22:00,5324,A Real Pain,Chadera,R
CC,25-01-07,14:20,5324,A Real Pain,Ashdod,R
CC,25-01-07,16:40,5324,A Real Pain,Ashdod,R
CC,25-01-07,19:00,5324,A Real Pain,Ashdod,R
CC,25-01-07,21:20,5324,A Real Pain,Ashdod,R
YP,25-01-07,14:30,73569,And the Party Goes On,Haifa,R
LC,25-01-07,13:40,563470,Anora,Tel Aviv,R
LC,25-01-07,18:40,563472,Anora,Tel Aviv,R
LC,25-01-07,21:20,563471,Anora,Tel Aviv,R
LC,25-01-07,15:50,563291,Anora,Raanana,R
LC,25-01-07,20:45,563280,Anora,Raanana,R
LC,25-01-07,18:15,563160,Anora,Even Yehuda,R
HC,25-01-07,21:30,2851,Anora,Carmiel,R
HC,25-01-07,21:35,2851,Anora,Nahariya,R
HC,25-01-07,13:50,2851,Anora,Kiryat Bialik,R
HC,25-01-07,19:10,2851,Anora,Kiryat Bialik,R
HC,25-01-07,13:50,2851,Anora,Haifa,R
HC,25-01-07,19:10,2851,Anora,Haifa,R
HC,25-01-07,14:00,2851,Anora,Kfar Saba,Premium
HC,25-01-07,16:50,2851,Anora,Kfar Saba,Premium
HC,25-01-07,20:10,2851,Anora,Petach Tikvah,R
HC,25-01-07,15:15,2851,Anora,Modiin,R
HC,25-01-07,18:00,2851,Anora,Modiin,R
HC,25-01-07,13:30,2851,Anora,Rehovot,R
HC,25-01-07,19:00,2851,Anora,Rehovot,R
HC,25-01-07,21:30,2851,Anora,Ashdod,R
HC,25-01-07,21:30,2851,Anora,Ashkelon,R
YP,25-01-07,14:00,66846,Anora,Rishon Letzion,R
YP,25-01-07,14:20,46978,Anora,Ayalon,R
YP,25-01-07,17:20,46946,Anora,Ayalon,R
YP,25-01-07,20:10,46947,Anora,Ayalon,R
CC,25-01-07,16:00,5386,Anora,Glilot,R
CC,25-01-07,21:30,5386,Anora,Glilot,R
YP,25-01-07,21:30,58147,Anora,Zichron Yaakov,R
CC,25-01-07,13:10,5386,Anora,Rishon Letzion,R
CC,25-01-07,20:30,5386,Anora,Rishon Letzion,R
YP,25-01-07,14:10,73302,Anora,Haifa,R
CC,25-01-07,13:10,5386,Anora,Jerusalem,R
CC,25-01-07,13:30,5386,Anora,Kfar Saba,R
CC,25-01-07,21:00,5386,Anora,Kfar Saba,R
YP,25-01-07,15:10,68645,Anora,Jerusalem,R
CC,25-01-07,20:00,5386,Anora,Netanya,R
CC,25-01-07,14:10,5386,Anora,Netanya,Prime
CC,25-01-07,15:00,5386,Anora,Beer Sheva,R
CC,25-01-07,14:30,5386,Anora,Chadera,R
RH,25-01-07,14:00,44217,Anora,Givataim,R
RH,25-01-07,21:30,44291,Anora,Givataim,R
RH,25-01-07,21:50,21325,Anora,Kiryat Ono,R
ML,25-01-07,14:15,81446,Arugam Bay,Netanya,R
LC,25-01-07,13:30,563466,Babygirl,Tel Aviv,R
LC,25-01-07,16:20,563467,Babygirl,Tel Aviv,R
LC,25-01-07,19:00,563468,Babygirl,Tel Aviv,R
LC,25-01-07,21:20,563464,Babygirl,Tel Aviv,R
LC,25-01-07,13:40,563286,Babygirl,Raanana,R
LC,25-01-07,16:10,563292,Babygirl,Raanana,R
LC,25-01-07,18:20,563287,Babygirl,Raanana,R
LC,25-01-07,21:15,563283,Babygirl,Raanana,R
LC,25-01-07,15:45,563164,Babygirl,Even Yehuda,R
LC,25-01-07,18:00,563557,Babygirl,Ramat Hasharon,R
LC,25-01-07,20:30,563536,Babygirl,Jerusalem,R
LC,25-01-07,20:45,563587,Babygirl,Omer,R
LC,25-01-07,20:50,563570,Babygirl,Herziliya,R
HC,25-01-07,14:15,2859,Babygirl,Kiryat Bialik,R
HC,25-01-07,19:40,2859,Babygirl,Kiryat Bialik,R
HC,25-01-07,21:20,2859,Babygirl,Kiryat Bialik,R
HC,25-01-07,14:40,2859,Babygirl,Haifa,R
HC,25-01-07,17:00,2859,Babygirl,Haifa,R
HC,25-01-07,20:00,2859,Babygirl,Haifa,R
HC,25-01-07,22:00,2859,Babygirl,Haifa,R
HC,25-01-07,14:10,2859,Babygirl,Kfar Saba,R
HC,25-01-07,16:40,2859,Babygirl,Kfar Saba,R
HC,25-01-07,19:10,2859,Babygirl,Kfar Saba,R
HC,25-01-07,22:00,2859,Babygirl,Kfar Saba,R
HC,25-01-07,14:10,2859,Babygirl,Petach Tikvah,R
HC,25-01-07,19:15,2859,Babygirl,Petach Tikvah,R
HC,25-01-07,21:40,2859,Babygirl,Petach Tikvah,R
HC,25-01-07,14:00,2859,Babygirl,Modiin,R
HC,25-01-07,18:50,2859,Babygirl,Modiin,R
HC,25-01-07,20:45,2859,Babygirl,Modiin,R
HC,25-01-07,22:00,2859,Babygirl,Modiin,R
HC,25-01-07,14:10,2859,Babygirl,Rehovot,R
HC,25-01-07,19:10,2859,Babygirl,Rehovot,R
HC,25-01-07,21:45,2859,Babygirl,Rehovot,R
HC,25-01-07,18:50,2859,Babygirl,Ashkelon,R
HC,25-01-07,21:15,2859,Babygirl,Ashkelon,R
HC,25-01-07,21:20,2859,Babygirl,Ashkelon,R
YP,25-01-07,15:10,66829,Babygirl,Rishon Letzion,R
YP,25-01-07,17:30,66830,Babygirl,Rishon Letzion,R
YP,25-01-07,19:50,66831,Babygirl,Rishon Letzion,R
YP,25-01-07,22:10,66832,Babygirl,Rishon Letzion,R
YP,25-01-07,17:20,47220,Babygirl,Ayalon,R
YP,25-01-07,19:45,47221,Babygirl,Ayalon,R
YP,25-01-07,22:10,47222,Babygirl,Ayalon,R
YP,25-01-07,17:20,68079,Babygirl,Beer Sheva,R
YP,25-01-07,19:40,68080,Babygirl,Beer Sheva,R
YP,25-01-07,22:00,68081,Babygirl,Beer Sheva,R
YP,25-01-07,20:15,68558,Babygirl,Beer Sheva,VIP
YP,25-01-07,22:30,68559,Babygirl,Beer Sheva,VIP
YP,25-01-07,13:45,58038,Babygirl,Zichron Yaakov,R
YP,25-01-07,17:00,58039,Babygirl,Zichron Yaakov,R
YP,25-01-07,19:30,58040,Babygirl,Zichron Yaakov,R
YP,25-01-07,22:00,58041,Babygirl,Zichron Yaakov,R
YP,25-01-07,14:10,73600,Babygirl,Haifa,R
YP,25-01-07,16:30,73601,Babygirl,Haifa,R
YP,25-01-07,19:00,73602,Babygirl,Haifa,R
YP,25-01-07,21:30,73603,Babygirl,Haifa,R
CC,25-01-07,15:30,5397,Babygirl,Glilot,R
CC,25-01-07,16:30,5397,Babygirl,Glilot,R
CC,25-01-07,18:10,5397,Babygirl,Glilot,R
CC,25-01-07,19:10,5397,Babygirl,Glilot,R
CC,25-01-07,20:50,5397,Babygirl,Glilot,R
CC,25-01-07,21:50,5397,Babygirl,Glilot,R
YP,25-01-07,17:15,68582,Babygirl,Jerusalem,R
YP,25-01-07,19:40,68583,Babygirl,Jerusalem,R
YP,25-01-07,22:00,68584,Babygirl,Jerusalem,R
CC,25-01-07,13:10,5397,Babygirl,Rishon Letzion,R
CC,25-01-07,16:00,5397,Babygirl,Rishon Letzion,R
CC,25-01-07,18:50,5397,Babygirl,Rishon Letzion,R
CC,25-01-07,21:30,5397,Babygirl,Rishon Letzion,R
CC,25-01-07,16:15,5397,Babygirl,Jerusalem,R
CC,25-01-07,19:00,5397,Babygirl,Jerusalem,R
CC,25-01-07,21:30,5397,Babygirl,Jerusalem,R
CC,25-01-07,14:20,5397,Babygirl,Kfar Saba,R
CC,25-01-07,18:30,5397,Babygirl,Kfar Saba,R
CC,25-01-07,21:40,5397,Babygirl,Kfar Saba,R
CC,25-01-07,14:00,5397,Babygirl,Netanya,R
CC,25-01-07,19:10,5397,Babygirl,Netanya,R
CC,25-01-07,21:50,5397,Babygirl,Netanya,R
CC,25-01-07,15:40,5397,Babygirl,Beer Sheva,R
CC,25-01-07,18:30,5397,Babygirl,Beer Sheva,R
CC,25-01-07,21:10,5397,Babygirl,Beer Sheva,R
CC,25-01-07,19:15,5397,Babygirl,Chadera,R
CC,25-01-07,20:20,5397,Babygirl,Chadera,R
CC,25-01-07,21:50,5397,Babygirl,Chadera,R
CC,25-01-07,17:40,5397,Babygirl,Chadera,Prime
CC,25-01-07,13:50,5397,Babygirl,Ashdod,R
CC,25-01-07,16:30,5397,Babygirl,Ashdod,R
CC,25-01-07,19:10,5397,Babygirl,Ashdod,R
CC,25-01-07,21:50,5397,Babygirl,Ashdod,R
RH,25-01-07,14:00,44304,Babygirl,Givataim,R
RH,25-01-07,17:00,44264,Babygirl,Givataim,R
RH,25-01-07,19:30,44265,Babygirl,Givataim,R
RH,25-01-07,21:50,44266,Babygirl,Givataim,R
ML,25-01-07,14:10,61739,Better Man,Carmiel,R
ML,25-01-07,19:00,61740,Better Man,Carmiel,R
ML,25-01-07,21:45,61741,Better Man,Carmiel,R
ML,25-01-07,13:50,58244,Better Man,Haifa,R
ML,25-01-07,19:10,58242,Better Man,Haifa,R
ML,25-01-07,22:00,58243,Better Man,Haifa,R
ML,25-01-07,13:35,81463,Better Man,Netanya,R
ML,25-01-07,19:00,81461,Better Man,Netanya,R
ML,25-01-07,22:00,81462,Better Man,Netanya,R
CC,25-01-07,14:20,5418,Better Man,Glilot,R
CC,25-01-07,17:20,5418,Better Man,Glilot,R
CC,25-01-07,20:10,5418,Better Man,Glilot,R
CC,25-01-07,18:30,5418,Better Man,Rishon Letzion,R
CC,25-01-07,20:00,5418,Better Man,Rishon Letzion,R
CC,25-01-07,21:40,5418,Better Man,Rishon Letzion,R
CC,25-01-07,13:10,5418,Better Man,Jerusalem,R
CC,25-01-07,16:00,5418,Better Man,Jerusalem,R
CC,25-01-07,19:00,5418,Better Man,Jerusalem,R
CC,25-01-07,20:10,5418,Better Man,Jerusalem,R
CC,25-01-07,21:40,5418,Better Man,Jerusalem,R
ML,25-01-07,21:30,1830,Better Man,Glilot,UPGRADE
CC,25-01-07,18:40,5418,Better Man,Kfar Saba,R
CC,25-01-07,13:30,5418,Better Man,Kfar Saba,Prime
CC,25-01-07,16:40,5418,Better Man,Kfar Saba,Prime
CC,25-01-07,19:00,5418,Better Man,Netanya,R
CC,25-01-07,22:10,5418,Better Man,Netanya,R
CC,25-01-07,17:30,5418,Better Man,Netanya,Prime
CC,25-01-07,20:30,5418,Better Man,Netanya,Prime
CC,25-01-07,14:50,5418,Better Man,Beer Sheva,R
CC,25-01-07,18:30,5418,Better Man,Beer Sheva,R
CC,25-01-07,21:10,5418,Better Man,Beer Sheva,R
CC,25-01-07,21:40,5418,Better Man,Beer Sheva,R
CC,25-01-07,15:40,5418,Better Man,Chadera,R
CC,25-01-07,18:30,5418,Better Man,Chadera,R
CC,25-01-07,20:15,5418,Better Man,Chadera,R
CC,25-01-07,21:20,5418,Better Man,Chadera,R
CC,25-01-07,15:50,5418,Better Man,Ashdod,R
CC,25-01-07,18:50,5418,Better Man,Ashdod,R
CC,25-01-07,21:50,5418,Better Man,Ashdod,R
YP,25-01-07,14:45,66834,Better Man,Rishon Letzion,R
YP,25-01-07,16:45,66861,Better Man,Rishon Letzion,R
YP,25-01-07,18:45,66857,Better Man,Rishon Letzion,R
YP,25-01-07,21:30,66858,Better Man,Rishon Letzion,R
YP,25-01-07,14:15,47330,Better Man,Ayalon,R
YP,25-01-07,16:30,47364,Better Man,Ayalon,R
YP,25-01-07,18:45,47085,Better Man,Ayalon,R
YP,25-01-07,21:30,47086,Better Man,Ayalon,R
YP,25-01-07,21:45,47366,Better Man,Ayalon,R
YP,25-01-07,14:00,68009,Better Man,Beer Sheva,R
YP,25-01-07,16:45,68010,Better Man,Beer Sheva,R
YP,25-01-07,19:00,68475,Better Man,Beer Sheva,R
YP,25-01-07,21:45,68476,Better Man,Beer Sheva,R
YP,25-01-07,14:30,57859,Better Man,Zichron Yaakov,R
YP,25-01-07,17:15,57860,Better Man,Zichron Yaakov,R
YP,25-01-07,22:10,58522,Better Man,Zichron Yaakov,R
YP,25-01-07,16:00,73228,Better Man,Haifa,R
YP,25-01-07,18:40,73229,Better Man,Haifa,R
YP,25-01-07,21:20,73230,Better Man,Haifa,R
YP,25-01-07,16:00,68619,Better Man,Jerusalem,R
YP,25-01-07,18:40,68378,Better Man,Jerusalem,R
YP,25-01-07,19:00,68620,Better Man,Jerusalem,R
YP,25-01-07,21:20,68379,Better Man,Jerusalem,R
HC,25-01-07,18:55,2880,Better Man,Nahariya,R
HC,25-01-07,21:50,2880,Better Man,Kiryat Bialik,R
HC,25-01-07,21:50,2880,Better Man,Haifa,R
HC,25-01-07,22:05,2880,Better Man,Kfar Saba,R
HC,25-01-07,15:45,2880,Better Man,Petach Tikvah,R
HC,25-01-07,22:00,2880,Better Man,Modiin,R
HC,25-01-07,21:45,2880,Better Man,Rehovot,R
HC,25-01-07,14:00,2880,Better Man,Ashdod,R
HC,25-01-07,20:50,2880,Better Man,Ashdod,R
HC,25-01-07,21:45,2880,Better Man,Ashdod,R
HC,25-01-07,19:15,2880,Better Man,Ashkelon,R
HC,25-01-07,22:00,2880,Better Man,Ashkelon,R
YP,25-01-07,22:10,73418,Cellar Door,Haifa,R
YP,25-01-07,21:30,68478,Cellar Door,Jerusalem,R
ML,25-01-07,13:15,61732,Cocorico,Carmiel,R
ML,25-01-07,14:20,58250,Cocorico,Haifa,UPGRADE
ML,25-01-07,14:05,81468,Cocorico,Netanya,R
HC,25-01-07,13:45,2838,Cocorico,Kiryat Bialik,R
HC,25-01-07,16:00,2838,Cocorico,Kiryat Bialik,R
HC,25-01-07,13:50,2838,Cocorico,Haifa,R
HC,25-01-07,16:00,2838,Cocorico,Haifa,R
HC,25-01-07,13:15,2838,Cocorico,Kfar Saba,R
HC,25-01-07,15:40,2838,Cocorico,Kfar Saba,R
YP,25-01-07,17:15,46979,Cocorico,Ayalon,R
YP,25-01-07,21:20,68443,Cocorico,Jerusalem,R
LC,25-01-07,13:30,563479,Emilia Pérez,Tel Aviv,R
HC,25-01-07,14:00,2810,Emilia Pérez,Kiryat Bialik,R
HC,25-01-07,15:10,2810,Emilia Pérez,Kiryat Bialik,R
HC,25-01-07,17:00,2810,Emilia Pérez,Kiryat Bialik,R
HC,25-01-07,19:50,2810,Emilia Pérez,Kiryat Bialik,R
HC,25-01-07,14:50,2810,Emilia Pérez,Haifa,R
HC,25-01-07,16:50,2810,Emilia Pérez,Haifa,R
HC,25-01-07,20:10,2810,Emilia Pérez,Haifa,R
HC,25-01-07,14:30,2810,Emilia Pérez,Kfar Saba,R
HC,25-01-07,20:15,2810,Emilia Pérez,Kfar Saba,R
HC,25-01-07,20:50,2810,Emilia Pérez,Petach Tikvah,R
HC,25-01-07,20:40,2810,Emilia Pérez,Modiin,R
HC,25-01-07,16:00,2810,Emilia Pérez,Rehovot,R
HC,25-01-07,20:40,2810,Emilia Pérez,Rehovot,R
CC,25-01-07,14:50,5328,Emilia Pérez,Glilot,R
CC,25-01-07,19:00,5328,Emilia Pérez,Glilot,R
CC,25-01-07,21:50,5328,Emilia Pérez,Glilot,R
ML,25-01-07,21:35,61726,Gladiator II,Carmiel,R
ML,25-01-07,18:55,81447,Gladiator II,Netanya,R
HC,25-01-07,20:30,2768,Gladiator II,Carmiel,R
HC,25-01-07,21:30,2768,Gladiator II,Kiryat Bialik,R
HC,25-01-07,21:50,2768,Gladiator II,Haifa,R
HC,25-01-07,21:30,2768,Gladiator II,Kfar Saba,R
HC,25-01-07,21:30,2768,Gladiator II,Petach Tikvah,R
HC,25-01-07,21:30,2768,Gladiator II,Modiin,R
HC,25-01-07,21:30,2768,Gladiator II,Rehovot,R
HC,25-01-07,21:00,2768,Gladiator II,Ashdod,R
HC,25-01-07,21:40,2768,Gladiator II,Ashkelon,R
CC,25-01-07,20:50,5327,Gladiator II,Glilot,R
CC,25-01-07,18:50,5327,Gladiator II,Jerusalem,R
CC,25-01-07,19:40,5327,Gladiator II,Ashdod,R
YP,25-01-07,21:30,66873,Gladiator II,Rishon Letzion,R
YP,25-01-07,18:20,73637,Gladiator II,Haifa,R
ML,25-01-07,15:25,61736,Here,Carmiel,R
ML,25-01-07,19:55,58234,Here,Haifa,R
ML,25-01-07,14:10,81454,Here,Netanya,R
HC,25-01-07,13:15,2782,Here,Kiryat Bialik,R
HC,25-01-07,15:30,2782,Here,Kiryat Bialik,R
HC,25-01-07,14:20,2782,Here,Haifa,R
HC,25-01-07,14:40,2782,Here,Kfar Saba,R
YP,25-01-07,22:00,66862,Here Now,Rishon Letzion,R
ML,25-01-07,14:05,81456,It Ends with Us,Netanya,R
ML,25-01-07,22:25,81457,It Ends with Us,Netanya,R
ML,25-01-07,15:00,1836,It Ends with Us,Glilot,UPGRADE
HC,25-01-07,22:00,2670,It Ends with Us,Haifa,R
HC,25-01-07,13:50,2670,It Ends with Us,Kfar Saba,R
ML,25-01-07,22:25,81436,Kraven the Hunter,Netanya,R
HC,25-01-07,22:10,2869,Kraven the Hunter,Haifa,R
CC,25-01-07,21:30,4806,Kraven the Hunter,Glilot,R
CC,25-01-07,21:40,4806,Kraven the Hunter,Beer Sheva,R
CC,25-01-07,18:50,4806,Kraven the Hunter,Ashdod,R
YP,25-01-07,18:40,66827,Kraven the Hunter,Rishon Letzion,R
YP,25-01-07,21:30,66828,Kraven the Hunter,Rishon Letzion,R
YP,25-01-07,19:30,68039,Kraven the Hunter,Beer Sheva,R
YP,25-01-07,16:30,73444,Kraven the Hunter,Haifa,R
YP,25-01-07,19:00,73445,Kraven the Hunter,Haifa,R
YP,25-01-07,21:40,73473,Kraven the Hunter,Haifa,R
HC,25-01-07,14:40,2881,La chambre des merveilles,Kiryat Bialik,R
HC,25-01-07,17:30,2881,La chambre des merveilles,Kiryat Bialik,R
HC,25-01-07,19:15,2881,La chambre des merveilles,Kiryat Bialik,R
HC,25-01-07,13:10,2881,La chambre des merveilles,Haifa,R
HC,25-01-07,15:20,2881,La chambre des merveilles,Haifa,R
HC,25-01-07,17:30,2881,La chambre des merveilles,Haifa,R
HC,25-01-07,19:40,2881,La chambre des merveilles,Haifa,R
HC,25-01-07,14:20,2881,La chambre des merveilles,Kfar Saba,R
HC,25-01-07,19:10,2881,La chambre des merveilles,Kfar Saba,R
HC,25-01-07,14:40,2881,La chambre des merveilles,Petach Tikvah,R
HC,25-01-07,19:15,2881,La chambre des merveilles,Petach Tikvah,R
HC,25-01-07,14:45,2881,La chambre des merveilles,Modiin,R
HC,25-01-07,17:00,2881,La chambre des merveilles,Modiin,R
HC,25-01-07,19:15,2881,La chambre des merveilles,Modiin,R
HC,25-01-07,13:10,2881,La chambre des merveilles,Rehovot,R
HC,25-01-07,15:15,2881,La chambre des merveilles,Rehovot,R
HC,25-01-07,19:40,2881,La chambre des merveilles,Rehovot,R
HC,25-01-07,14:00,2874,Lee,Kiryat Bialik,R
HC,25-01-07,19:15,2874,Lee,Kiryat Bialik,R
HC,25-01-07,14:15,2874,Lee,Haifa,R
HC,25-01-07,19:30,2874,Lee,Haifa,R
HC,25-01-07,14:00,2874,Lee,Kfar Saba,R
HC,25-01-07,19:20,2874,Lee,Kfar Saba,R
YP,25-01-07,14:00,66870,Lee,Rishon Letzion,R
YP,25-01-07,19:15,46980,Lee,Ayalon,R
HC,25-01-07,14:50,2751,Matchmaking 2,Kfar Saba,R
CC,25-01-07,22:00,5294,Matchmaking 2,Rishon Letzion,R
CC,25-01-07,22:00,5294,Matchmaking 2,Jerusalem,R
CC,25-01-07,22:00,5294,Matchmaking 2,Beer Sheva,R
ML,25-01-07,19:15,61743,Moana 2,Carmiel,R
ML,25-01-07,16:35,81448,Moana 2,Netanya,R
ML,25-01-07,20:05,81434,Moana 2,Netanya,R
HC,25-01-07,19:40,2805,Moana 2,Carmiel,R
HC,25-01-07,16:50,2805,Moana 2,Haifa,R
HC,25-01-07,21:50,2805,Moana 2,Kfar Saba,R
HC,25-01-07,19:30,2805,Moana 2,Ashkelon,R
