cinema,date,title,year,poster
CS,28/11/2024,"Love, Classified",2022,https://m.media-amazon.com/images/M/MV5BNDM0NjAzNzEtMDhjMy00OTVkLWI4NDktZGFlZmRkMjRmMGQwXkEyXkFqcGdeQXVyNTI0MTI0OTY@._V1_SX300.jpg
CS,12/12/2024,Words Bubble Up Like Soda Pop,,https://m.media-amazon.com/images/M/MV5BMzUxZTIyNjItMWYyOS00MGIzLTkyNzUtZTgyMjM0ODQ2YjgzXkEyXkFqcGc@._V1_SX300.jpg
CS,12/12/2024,Anora,2024,https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_SX300.jpg
CS,12/12/2024,Kraven the Hunter,2024,https://m.media-amazon.com/images/M/MV5BZDU0YTI5ODAtN2NmMS00YTg3LTgyNDItN2RmOWEzOTkzZjcyXkEyXkFqcGc@._V1_SX300.jpg
CS,19/12/2024,Mufasa: The Lion King,2024,https://m.media-amazon.com/images/M/MV5BNjg1YzI5ZmQtZjZkOC00ZDMzLWI4YjYtMmY5MzZjYWE3YzhjXkEyXkFqcGc@._V1_SX300.jpg
CS,26/12/2024,Sonic the Hedgehog 3,2024,https://m.media-amazon.com/images/M/MV5BZTkyMGFlNzMtMTljOC00ZDMyLWE5NWItMzVjMDZmNzA2Yjc2XkEyXkFqcGc@._V1_SX300.jpg
CS,02/01/2025,A Real Pain,2024,https://m.media-amazon.com/images/M/MV5BODY2YWYwM2YtZTVlNC00MjgyLTgzYTgtNmFmYWE5ZmY1MDM5XkEyXkFqcGc@._V1_SX300.jpg
CS,23/01/2025,Flight/Risk,2022,https://m.media-amazon.com/images/M/MV5BNGZmMDg4OTAtZTYzZi00YjBhLWE4M2ItMDYwMDk2MGY4NTcyXkEyXkFqcGc@._V1_SX300.jpg
CS,30/01/2025,Den of Thieves 2: Pantera,2025,N/A
CS,13/02/2025,Captain America: Brave New World,2025,https://m.media-amazon.com/images/M/MV5BZTk2NTUxZDItN2Y1Ni00MDFjLTg4OWItMWY3M2Q2OGNiODUwXkEyXkFqcGc@._V1_SX300.jpg
CS,20/03/2025,Snow White,2025,https://m.media-amazon.com/images/M/MV5BZTQ1OTliZWItMzE5Zi00YzA5LTgzN2ItZjA5MjQ1ZGU3YjE2XkEyXkFqcGc@._V1_SX300.jpg
CS,01/05/2025,Thunderbolts,2025,https://m.media-amazon.com/images/M/MV5BYTVlNDViYWUtYmQ4Ny00Y2NhLWFjMGMtNTEyYTg5ZWNkMzhiXkEyXkFqcGc@._V1_SX300.jpg
