cinema,datetext,title,year,imdbID,poster
CS,25-02-27,Maria,2024,tt22893404,https://m.media-amazon.com/images/M/MV5BMmJlZTkzOWMtYjBmMi00MWY2LTg0YTUtNGUzZjI0MzgxYTY4XkEyXkFqcGc@._V1_SX300.jpg
CS,25-03-01,The Teacher Who Promised the Sea,2023,tt11887316,https://m.media-amazon.com/images/M/MV5BNTc1NzJiOGItMGQ2Ni00ZDMxLTkzYzYtMmU2ODUwMjEzODkzXkEyXkFqcGc@._V1_SX300.jpg
CS,25-03-06,Sinners,2025,tt31193180,https://m.media-amazon.com/images/M/MV5BYThkYmJiZTQtZGUzMy00OTllLTg1NmYtZmMyZjQ3ODdjYjc0XkEyXkFqcGc@._V1_SX300.jpg
CS,25-03-06,The Legend of Ochi,2025,tt8866456,https://m.media-amazon.com/images/M/MV5BN2U1NTk2MmYtYWNlYi00NzdjLTg5YTEtNTY5MjYwYzM4OTk0XkEyXkFqcGc@._V1_SX300.jpg
CS,25-03-06,Paddington in Peru,2024,tt5822536,https://m.media-amazon.com/images/M/MV5BNzMyNWZlYmYtZDgxMC00ZTU3LWFiYzctNGE0ZDc0OTlhZTRlXkEyXkFqcGc@._V1_SX300.jpg
CS,25-03-20,Snow White,2025,tt6208148,https://m.media-amazon.com/images/M/MV5BZTQ1OTliZWItMzE5Zi00YzA5LTgzN2ItZjA5MjQ1ZGU3YjE2XkEyXkFqcGc@._V1_SX300.jpg
CS,25-04-03,Widow Clicquot,2023,tt3234122,https://m.media-amazon.com/images/M/MV5BOWYyZDg2N2YtYmU3YS00MTI0LTliM2QtZjcxNTJhMGRiNTBiXkEyXkFqcGc@._V1_SX300.jpg
CS,25-04-03,A Minecraft Movie,2025,tt3566834,https://m.media-amazon.com/images/M/MV5BYWI2ZWE1NDktYmI1MC00MDAzLWI3MGYtMTgwMjkzNmJjY2ZlXkEyXkFqcGc@._V1_SX300.jpg
CS,25-04-03,Out of the Nest,2024,tt31520900,https://m.media-amazon.com/images/M/MV5BZmNjMTE5N2YtODg3OS00ZDNlLWE3ZDItZTAzOGZmY2JjOTgyXkEyXkFqcGc@._V1_SX300.jpg
CS,25-04-17,Mickey 17,2025,tt12299608,https://m.media-amazon.com/images/M/MV5BOTZmY2E4YjUtNzU1OC00NGQ2LWFlMmItNDk4NDA2OTg3OGIyXkEyXkFqcGc@._V1_SX300.jpg
CS,25-05-01,Thunderbolts,2025,tt20969586,https://m.media-amazon.com/images/M/MV5BYTVlNDViYWUtYmQ4Ny00Y2NhLWFjMGMtNTEyYTg5ZWNkMzhiXkEyXkFqcGc@._V1_SX300.jpg
CS,25-05-08,Ballerina,2023,tt26350277,https://m.media-amazon.com/images/M/MV5BOTgxNzA0MDktYzc5ZC00MGY3LWIwYjItMDJhNzE2ZGFjYmE1XkEyXkFqcGc@._V1_SX300.jpg
CS,25-05-22,Lilo & Stitch,2025,tt11655566,https://m.media-amazon.com/images/M/MV5BZTI1YWQzMTctYzM5Zi00MDIwLThjMTgtNDVjZjYwZGQyNDc0XkEyXkFqcGc@._V1_SX300.jpg
CS,25-05-22,Mission: Impossible 8,2023,tt9603212,https://m.media-amazon.com/images/M/MV5BN2U4OTdmM2QtZTkxYy00ZmQyLTg2N2UtMDdmMGJmNDhlZDU1XkEyXkFqcGc@._V1_SX300.jpg
CS,25-05-29,Karate Kid: Legends,2025,tt1674782,https://m.media-amazon.com/images/M/MV5BNTFmM2U2MzItMTMzOC00OWI2LWFlZjgtOGJhNTc5MzU5OTM2XkEyXkFqcGc@._V1_SX300.jpg
CS,25-06-05,Ballerina,2023,tt26350277,https://m.media-amazon.com/images/M/MV5BOTgxNzA0MDktYzc5ZC00MGY3LWIwYjItMDJhNzE2ZGFjYmE1XkEyXkFqcGc@._V1_SX300.jpg
CS,25-06-12,How to Train Your Dragon,2025,tt26743210,https://m.media-amazon.com/images/M/MV5BOGU0ZWYzZmUtZDM5Yi00NjJlLTllNTctY2NiZWVkOTIzM2JlXkEyXkFqcGc@._V1_SX300.jpg
CS,25-06-12,Elio,2025,tt4900148,https://m.media-amazon.com/images/M/MV5BNjRiYzIxMjItNWUxNi00NDc5LWJjMzEtZmRkY2EwOTJhZjkyXkEyXkFqcGc@._V1_SX300.jpg
CS,25-06-19,28 Years Later,2025,tt10548174,https://m.media-amazon.com/images/M/MV5BMWExYTY4YjAtYWJkZS00NTljLWEzZGUtZDA1MDFjOGUyMTk1XkEyXkFqcGc@._V1_SX300.jpg
CS,25-07-10,Superman,2025,tt5950044,https://m.media-amazon.com/images/M/MV5BZjFhZmU5NzUtZTg4Zi00ZjRjLWI0YmQtODk2MzI4YjNhYTdkXkEyXkFqcGc@._V1_SX300.jpg
CS,25-07-31,The Bad Guys 2,2025,tt30017619,https://m.media-amazon.com/images/M/MV5BZTAyZDA2MmEtYjFlMy00MDAxLWJlMDEtZGNiNGUyYTVmNGVlXkEyXkFqcGc@._V1_SX300.jpg
